Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,float,Title, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
A20170322,1.56,0.636888796567,0.00390640090989,0.0064406137526,0.0356725146199,321798000.0,0.0,3.2568,53.7824,53.1300010681,50.5256,0.799680996105,-0.0091,0.8087,0.7996,-0.000171277993922,60.721,49.7812,52.154,53.06,55.9322,57.3233,53.5354,1490212921.0
AA20170322,-2.19,0.652751666285,0.016556122449,0.0101949025487,-0.0690798563139,173852000.0,3.0,4.3366,37.3278,33.6899986267,32.9912,0.16113974697,-0.2703,-0.1239,-0.3941,-0.00802315259775,41.6241,34.7223,35.1595,34.432,33.8514,15.2125,13.9648,1490212924.0
AAAP20170322,-0.47,0.422465568799,0.0025309345983,0.00838064341714,0.0227584315876,19816000.0,1.0,2.3106,38.6283,37.2999992371,36.3177,0.425127342275,-0.3308,1.0,0.6692,-0.00886863288918,59.3149,33.2113,37.473,37.026,44.5092,55.8359,52.0505,1490212800.0
AAC20170322,-0.03,0.95252683266,0.0149186705989,-0.0315151515152,-0.0361881785283,8816000.0,0.0,1.8408,9.4524,7.98999977112,7.6116,0.205562674445,-0.0994,0.1595,0.06,-0.0124405510447,40.7527,8.0745,8.532,8.352,36.8891,9.2369,6.8974,1490212923.0
AAL20170322,4.81,1.47503908997,0.021918911531,0.0143288084465,-0.101536406146,453628000.0,15.0,8.8928,48.3939,40.3499984741,39.5011,0.095459076345,-0.3642,-1.1035,-1.4677,-0.00902602264616,28.9382,45.825,43.9475,41.264,33.8497,14.1615,11.9765,1490212800.0
AAMC20170322,-2.93,2.31334022751,0.0394532627866,-0.0268681780017,-0.216891891892,567000.0,0.0,27.8874,86.2737,57.9500007629,58.3863,-0.0156450309839,-2.4774,-0.1357,-2.613,-0.0427506465467,30.4973,68.5868,72.33,63.01,18.7856,3.4087,4.2709,1490212920.0
AAME20170322,0.11,0.317358657244,0.000261272727273,-0.0263157894737,-0.023746701847,5500000.0,1.0,0.4702,4.0276,3.70000004768,3.5574,0.303275303453,0.0091,-0.0024,0.0066,0.00245945942776,46.6055,3.8382,3.7925,3.87,53.0382,50.0,66.6667,1490212800.0
AAN20170322,1.91,1.2237560526,0.0151652236079,0.0141693234148,-0.00313370473538,62945000.0,0.0,3.7514,30.0477,28.6299991608,26.2963,0.622087530193,0.2035,-0.2226,-0.0191,0.00710792895443,48.3902,29.8562,28.172,29.278,61.0466,45.9701,49.7512,1490212922.0
AAOI20170322,1.76,2.36910956552,0.130970865721,0.0960016659725,0.252200808946,16853000.0,1.0,14.69,56.592,52.6300010681,41.902,0.730292788844,-0.6647,4.1704,3.5058,-0.012629678634,65.0376,36.2205,49.247,49.984,47.6762,63.169,41.1469,1490212800.0
AAON20170322,1.0,1.01351692365,0.00384156570363,-0.0041958041958,0.0244604316547,40774000.0,1.0,4.3984,37.3967,35.5999984741,32.9983,0.591510202374,0.0411,0.508,0.5491,0.00115449443151,53.2954,34.2042,35.1975,36.35,59.5895,45.4545,62.8283,1490212800.0
AAP20170322,6.2,0.619877475317,0.00905927771541,-0.00217678100264,-0.0421705819034,73046000.0,0.0,8.2064,158.6172,151.270004272,150.4108,0.104699292316,0.0494,-2.7681,-2.7187,0.000326568378428,30.374,162.8728,154.514,152.148,27.8341,10.5469,12.7688,1490212920.0
AAPL20170322,8.33,0.952225430546,0.00498548653263,0.0113709504398,0.0405415348392,5185942000.0,24.0,5.6354,141.9862,141.419998169,136.3508,0.899527658896,-0.3727,2.8384,2.4656,-0.00263541228133,69.7154,129.1887,139.1685,140.68,55.4445,75.9999,74.5409,1490212800.0
AAT20170322,0.72,2.12351922351,0.0119759351743,-0.0134099616858,-0.0398508506176,40848000.0,0.0,4.2344,44.6842,41.2000007629,40.4498,0.177168137856,-0.0751,-0.3251,-0.4002,-0.00182281550023,37.7031,42.9532,42.567,41.998,15.7346,20.4634,33.4993,1490212921.0
AAU20170322,-0.032,1.02313677177,0.00402228217952,-0.0129310344828,0.021409455843,75980000.0,1.0,0.2485,1.1845,1.14499998093,0.936,0.841046200912,0.0111,-0.0184,-0.0073,0.00969432330559,58.1456,1.0731,1.0602,1.075,53.2074,70.0,60.0,1490212920.0
AAV.TO20170322,-0.09,0.57825069822,0.00180201566522,0.00502512562814,-0.0220048899756,182570000.0,1.0,0.47,8.2285,8.0,7.7585,0.513829787234,0.0248,-0.1132,-0.0884,0.0031,46.2974,8.3652,7.9935,8.004,47.7434,53.0303,55.0505,1490212800.0
AAV20170322,-0.07,0.605777050798,0.000363104562634,-0.00833333333333,-0.0356564019449,182570000.0,1.0,0.4624,6.2087,5.94999980927,5.7463,0.440527269172,0.0226,-0.1132,-0.0906,0.00379831944949,44.7336,6.3225,5.9775,5.98,57.6865,50.0,56.6667,1490212921.0
AAWW20170322,1.66,0.811429605797,0.00567219070166,0.00292682926829,-0.0477954798073,24499000.0,2.0,7.28,58.58,51.4000015259,51.3,0.013736473335,-0.5122,0.1266,-0.3856,-0.00996498024892,36.3862,53.2005,54.94,52.88,38.3645,11.5775,4.6225,1490212800.0
AB20170322,2.23,1.39588871854,0.00532365230029,-0.0045871559633,-0.0682696436239,88076000.0,3.0,2.3048,24.0524,21.7000007629,21.7476,-0.0206522201755,-0.1158,-0.2857,-0.4015,-0.00533640534233,26.0933,23.3508,22.9,22.2,7.7995,0.0,2.9149,1490212921.0
ABAX20170322,1.49,0.647858577213,0.00455007860908,0.0178571428571,-0.0255430410298,21626000.0,0.0,2.718,50.652,48.4500007629,47.934,0.189845755313,-0.0582,-0.3439,-0.4021,-0.00120123837118,43.3652,50.0038,49.293,48.744,38.7012,36.1217,22.8482,1490212800.0
ABB20170322,0.88,1.23628188773,0.00155543382397,0.00870700914236,0.00914634146341,1788087000.0,1.0,1.104,23.336,23.1700000763,22.232,0.849637750266,0.0522,0.0684,0.1206,0.00225291324247,58.2613,22.6403,22.784,23.186,60.2149,70.4546,74.5473,1490212921.0
