Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,float,Title, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
AAAP20170428,-0.67,0.44303311203,0.00163253938946,0.010101010101,-0.00393184796855,32496000.0,0.0,3.8516,40.1483,38.0,36.2967,0.442231799772,-0.1054,-0.0277,-0.1331,-0.00277368421053,51.6299,37.4982,38.2225,37.61,32.5192,55.6213,43.97,1493409600.0
AAP20170428,6.2,1.28424921,0.0199313807188,-0.0011945752231,-0.0331269981634,73201000.0,0.0,8.9458,148.1994,142.13999939,139.2536,0.322654138216,0.522,-2.1845,-1.6625,0.00367243564262,36.4547,152.1668,143.7265,144.776,55.3105,24.5444,43.4254,1493409781.0
AAPL20170428,8.33,0.826798238486,0.00402236813687,-0.00291524953148,0.0108366758145,5185680000.0,2.0,4.7146,145.2828,143.649993896,140.5682,0.653670278811,-0.0604,0.9519,0.8915,-0.000420466429282,59.5933,139.348,142.9255,143.858,35.1878,74.1735,75.3443,1493409600.0
AAV.TO20170428,-0.09,1.33152124944,0.0043794570091,0.00233372228705,0.0046783625731,182213000.0,0.0,0.8126,9.2403,8.59000015259,8.4277,0.199729451868,-0.063,0.0824,0.0194,-0.00733410929929,47.3874,8.4243,8.834,8.592,19.4822,40.2299,25.5913,1493409600.0
AAWW20170428,1.66,1.58755318119,0.0113586389568,0.0122164048866,0.0603290676417,24540000.0,2.0,7.8102,59.8801,58.0,52.0699,0.759276330952,0.3577,0.9657,1.3234,0.00616724137931,59.7399,54.5497,55.975,58.81,74.1132,67.6923,84.7883,1493409600.0
AB20170428,2.23,1.24580620536,0.00515105136473,0.00659340659341,0.0159716060337,88076000.0,2.0,0.781,23.188,22.8999996185,22.407,0.631241509002,0.0132,0.0407,0.0539,0.000576419223576,53.8317,22.9608,22.7975,22.8,61.0633,67.5675,60.06,1493409721.0
ABAX20170428,1.49,6.5678459857,0.0352891889392,-0.052,-0.0678948457876,21626000.0,1.0,4.2116,49.9933,45.0299987793,45.7817,-0.178483526618,-0.0157,-0.1406,-0.1563,-0.000348656460706,31.2796,48.9005,47.8875,48.364,45.9275,6.9633,58.4713,1493409600.0
ABEO20170428,-0.64,0.836133150648,0.0097544655125,0.00892857142857,0.112204724409,21834000.0,0.0,1.0664,5.6907,5.65000009537,4.6243,0.961834297981,0.0829,0.058,0.1409,0.014672566124,65.0446,5.1617,5.1575,5.55,63.5003,75.0,81.9444,1493409600.0
ABEV20170428,0.25,1.61228838827,0.00429986286428,0.0141592920354,0.0159574468085,5973644000.0,2.0,0.2568,5.8299,5.73000001907,5.5731,0.610981382685,-0.0037,0.0262,0.0225,-0.00064572425614,53.6589,5.6193,5.7015,5.714,47.1843,63.8889,54.6296,1493409607.0
ABIL20170428,-0.187,0.416682772216,0.00138028169014,0.0396103896104,-0.544989484454,7810000.0,1.0,1.5793,2.086,0.774399995804,0.5067,0.169505474453,-0.0156,-0.3613,-0.3769,-0.0201446282083,6.1902,2.2022,1.2964,0.8317,6.2687,1.4301,0.7682,1493409600.0
