Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,float,Title, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
A20170621,1.78,1.15330042993,0.00700695725899,-0.00862211905157,0.0252057613169,320816000.0,1.0,2.3636,61.0728,59.7900009155,58.7092,0.457268960707,-0.1668,0.9407,0.7739,-0.00278976413189,57.9578,56.4124,59.891,59.878,44.9982,55.1155,69.4169,1498075351.0
AA20170621,0.19,0.818112039761,0.0200756861865,-0.0294213795358,-0.0762289981332,173823000.0,0.0,4.821,34.6485,29.6900005341,29.8275,-0.0285209429459,-0.3197,-0.2956,-0.6152,-0.0107679351381,35.241,32.5857,32.238,30.354,27.3582,3.1461,17.8277,1498075323.0
AAAP20170621,-0.91,1.440514591,0.00542055853208,0.0330708661417,0.0629219551715,21091000.0,1.0,4.662,39.5385,39.3600006104,34.8765,0.961711842632,0.2837,-0.1923,0.0914,0.00720782509148,67.3792,37.6202,37.2075,37.664,69.8524,88.5106,74.7903,1498075200.0
AAC20170621,-0.09,0.45594859678,0.00580082179931,-0.0324005891016,-0.0352422907489,9248000.0,4.0,0.8728,6.9404,6.57000017166,6.0676,0.575618895121,0.0692,-0.2009,-0.1317,0.0105327242301,47.8554,7.2413,6.504,6.56,57.0912,59.3654,73.3821,1498075321.0
AAL20170621,4.17,0.541758195429,0.00791521781286,0.00206910821436,0.0189354092152,438335000.0,2.0,4.1678,51.2264,48.4300003052,47.0586,0.329046572574,-0.3408,1.0446,0.7038,-0.00703696051729,51.1863,45.8517,49.1425,48.804,51.8414,10.6599,19.7858,1498075200.0
AAMC20170621,-3.36,0.289323308271,0.0036256281407,-0.00733634311512,0.0767629774731,796000.0,0.0,9.2588,93.2809,87.9499969482,84.0221,0.424233912412,-0.7502,3.0401,2.2899,-0.00852984679967,55.8035,77.6187,88.6515,86.74,47.0475,57.9487,42.2078,1498075320.0
AAN20170621,1.97,1.12142214507,0.012494971726,0.00755798801147,0.0437365010799,62248000.0,0.0,6.0968,41.3254,38.6599998474,35.2286,0.562819814888,-0.2137,1.3032,1.0894,-0.00552767720754,59.1516,34.609,38.277,38.94,63.3171,39.928,56.9401,1498075379.0
AAOI20170621,2.84,0.560964023794,0.100882936508,0.0327332242226,-0.0210983555693,18144000.0,3.0,17.8246,76.4168,63.0999984741,58.5922,0.252897595128,-1.3613,1.3829,0.0217,-0.0215736930732,47.3918,57.9343,67.5045,62.498,44.3337,30.765,27.2173,1498075200.0
AAON20170621,0.97,0.822071726592,0.0026318567991,-0.020325203252,-0.0179299103504,40726000.0,3.0,2.478,38.1139,36.1500015259,35.6359,0.207466313914,-0.0946,0.3107,0.216,-0.00261687402509,43.5673,36.1207,36.8749,37.04,38.8093,10.0879,38.005,1498075200.0
AAP20170621,5.52,1.90742798118,0.0339624669628,-0.0333977144697,-0.129511523409,73402000.0,0.0,16.4956,139.2583,120.11000061,122.7627,-0.160812543324,-0.6605,-3.6054,-4.2659,-0.0054991257734,27.0331,140.1837,131.0105,126.92,26.012,9.2639,17.1088,1498075217.0
AAPL20170621,8.52,0.780645340108,0.00418493418255,0.00254295532646,-0.0355702479339,5081251000.0,5.0,17.7268,159.0909,145.869995117,141.3641,0.254185477198,-0.9264,-0.6416,-1.568,-0.0063508605677,42.8804,147.6371,150.2275,144.756,34.7958,26.6328,25.6894,1498075202.0
AAT20170621,0.71,0.627023355847,0.00438091357906,-0.000758341759353,-0.01175,41726000.0,1.0,2.6325,41.105,39.5299987793,38.4725,0.401708938005,0.0229,-0.0717,-0.0488,0.000579306873442,43.9669,40.9322,39.7888,39.96,43.5427,25.4579,35.3988,1498075322.0
AAU20170621,-0.04,0.329902514775,0.0014907351986,-0.0428571428571,-0.0147058823529,78523000.0,0.0,0.1858,1.4604,1.34000003338,1.2746,0.351991568238,-0.0029,0.0037,0.0008,-0.00216417905057,48.1045,1.3712,1.3675,1.356,54.4659,17.3913,28.0193,1498075247.0
AAV.TO20170621,0.06,1.77373141505,0.00555547855506,-0.0121506682868,-0.0446533490012,183260000.0,1.0,0.729,8.696,8.13000011444,7.967,0.223594121318,-0.0024,-0.13,-0.1323,-0.000295202947874,40.3424,8.6193,8.3315,8.196,35.9673,23.4042,33.9125,1498075200.0
AAV20170621,0.04,0.88631861266,0.000476061333624,-0.0162601626016,-0.0381558028617,183260000.0,1.0,0.5792,6.5021,6.05000019073,5.9229,0.219440937042,0.0026,-0.074,-0.0715,0.000429752052567,42.9638,6.3942,6.2125,6.16,46.1246,25.0001,50.0001,1498075322.0
AAWW20170621,1.59,0.807404587677,0.00961808170371,-0.0156555772994,-0.0152701644479,24699000.0,1.0,6.2468,54.5784,50.2999992371,48.3316,0.315105211798,-0.063,0.1263,0.0633,-0.00125248510846,42.2505,52.9775,51.455,51.65,45.969,8.2353,37.6128,1498075200.0
AB20170621,2.14,0.606280235798,0.00352358737455,0.00431034482759,0.0610200364299,87886000.0,2.0,2.7066,24.1008,23.2999992371,21.3942,0.704130361731,0.0205,0.4193,0.4398,0.00087982835499,67.47,22.0642,22.7475,23.25,57.8684,76.1905,78.4271,1498075245.0
ABAX20170621,1.44,0.644150173837,0.00332056685037,0.00468292682927,0.046332046332,21593000.0,2.0,4.3504,52.6989,51.4900016785,48.3485,0.722117892255,-0.0095,0.8601,0.8506,-0.000184501839004,59.4376,48.6112,50.5237,51.326,60.6234,72.524,75.7265,1498075200.0
ABB20170621,0.99,1.0808551369,0.00126617122506,-0.00237623762376,0.00599041533546,1797050000.0,1.0,0.9,25.694,25.1900005341,24.794,0.440000593397,-0.0772,0.2626,0.1855,-0.00306470815257,52.8707,24.2002,25.244,25.202,42.3733,40.7408,45.9876,1498075320.0
ABBV20170621,3.86,1.09935264577,0.00383352113314,0.0032344255379,0.0582999554962,1590346000.0,2.0,7.8982,72.5561,71.3399963379,64.6579,0.846027745295,0.2533,1.1544,1.4077,0.00355060292967,81.3072,66.3739,68.607,71.11,92.8819,90.9441,92.1315,1498075284.0
ABC20170621,5.15,0.702730096663,0.00678886610749,0.0179921217928,0.0615008880995,160950000.0,0.0,5.3134,95.2092,95.6200027466,89.8958,1.07731447785,0.0399,1.4987,1.5385,0.000417276708366,67.4341,88.027,92.5525,93.916,59.9186,99.3507,73.5216,1498075206.0
ABCB20170621,2.29,0.433408529495,0.00234371649619,-0.0169491525424,0.0119956379498,34511000.0,2.0,7.4858,49.7729,46.4000015259,42.2871,0.549427118795,0.0841,0.5393,0.6234,0.0018124999404,50.5716,45.7383,46.03,47.44,47.3376,50.7247,59.8732,1498075200.0
ABCD20170621,0.27,2.21323087626,0.00511615497076,-0.00816326530612,-0.0357142857143,13680000.0,2.0,0.257,5.106,4.86000013351,4.849,0.0428020759315,-0.0157,-0.0205,-0.0363,-0.00323045258615,39.8798,4.9733,4.9775,4.894,37.1024,33.3334,36.8421,1498075200.0
ABCO20170621,2.47,0.598602381884,0.00633642097485,0.001953125,-0.000973709834469,37893000.0,3.0,2.0064,52.4757,51.2999992371,50.4693,0.414024739364,-0.1208,0.3623,0.2415,-0.00235477586348,52.3226,49.7858,51.4725,51.44,41.3956,32.3771,37.8416,1498075200.0
ABE.V20170621,-0.07,9.13337032926,0.0738593866866,0.0,0.046511627907,5348000.0,0.0,0.1368,0.5794,0.449999988079,0.4426,0.0540934801102,-0.0195,0.0516,0.0322,-0.0433333344813,49.5994,0.3017,0.511,0.48,13.673,29.4118,39.2157,1498074610.0
ABEO20170621,-0.6,1.15068912032,0.011892140698,0.0204081632653,-0.0909090909091,21834000.0,0.0,1.368,5.839,5.0,4.471,0.386695906433,-0.0196,-0.178,-0.1975,-0.00392,44.3165,5.3517,5.155,4.83,36.4125,42.4528,32.3328,1498075200.0
ABEV20170621,0.23,1.33855518117,0.00647067347417,0.0037037037037,-0.0590277777778,5985946000.0,4.0,0.579,5.875,5.42000007629,5.296,0.214162480646,-0.0191,-0.0925,-0.1116,-0.00352398519025,39.6195,5.7337,5.5855,5.398,39.7035,23.0769,19.2308,1498075333.0
ABG20170621,7.82,1.51613365041,0.0198982254697,-0.040072859745,-0.0726728840401,19160000.0,3.0,5.2548,58.6974,52.7000007629,53.4426,-0.141318268452,-0.2329,-0.5344,-0.7673,-0.00441935477473,36.4912,58.1225,56.07,55.05,29.2116,15.1515,28.8159,1498075211.0
ABI.V20170621,-0.0,0.122240671509,6.9393844766e-05,0.0,-0.125,172926000.0,0.0,0.0088,0.0839,0.070000000298,0.0751,-0.579545420679,-0.0002,-0.0023,-0.0025,-0.00285714284498,13.3784,0.0878,0.0795,0.078,38.2242,0.0,66.6667,1498054565.0
