"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PPO","Polypore International Inc","58.87","2640878294.04","n/a","2007","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ppo",
"PKX","POSCO","54.2","18902105828","n/a","1994","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/pkx",
"POT","Potash Corporation of Saskatchewan Inc.","32.7","27197588363.7","n/a","1989","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/pot",
"PPG","PPG Industries, Inc.","223.58","30495746566.18","n/a","n/a","Basic Industries","Paints/Coatings","http://www.nasdaq.com/symbol/ppg",
"PX","Praxair, Inc.","122.27","35288534096.23","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/px",
"PCP","Precision Castparts Corporation","210.8","29884626311.6","n/a","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/pcp",
"PLPC","Preformed Line Products Company","42.69","230355410.76","n/a","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/plpc",
"PVG","Pretium Resources, Inc.","5.68","753068014.96","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pvg",
"PPP","Primero Mining Corp","3.51","568114121.25","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ppp",
"PRIM","Primoris Services Corporation","18.1","933409108.4","n/a","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/prim",
"PG","Procter & Gamble Company (The)","82.43","222603028913.82","n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/pg",
"KWR","Quaker Chemical Corporation","86.26","1149385602.9","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/kwr",
"GOLD","Randgold Resources Limited","70.93","3483851928.66","49116762","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gold",
"REE","Rare Element Resources Ltd.","0.599","28576622.384","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ree",
"RYAM","Rayonier Advanced Materials Inc.","14.91","638710718.31","n/a","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ryam",
"RGSE","Real Goods Solar, Inc.","0.2469","12923480.0337","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/rgse",
"RS","Reliance Steel & Aluminum Co.","61.39","4761127909.09","n/a","1994","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/rs",
"REGI","Renewable Energy Group, Inc.","9.36","415798166.16","n/a","2012","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/regi",
"RNF","Rentech Nitrogen Partners, L.P.","14.62","568913849.52","n/a","2011","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/rnf",
"RTK","Rentech, Inc.","1.12","256952027.36","n/a","1991","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/rtk",
"RFP","Resolute Forest Products Inc.","17.69","1678762354.74","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/rfp",
"RVM","Revett Mining Company, Inc.","0.49","19244253.63","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rvm",
"REX","REX American Resources Corporation","61.3","490597447.3","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/rex",
"RIC","Richmont Mines, Inc.","3.25","188308974.75","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ric",
"RIO","Rio Tinto Plc","41.2","76678807649.6","n/a","2002","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rio",
"ROG","Rogers Corporation","82.43","1529187862.93","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/rog",
"RGLD","Royal Gold, Inc.","64.69","4212086029.33","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rgld",
"RPM","RPM International Inc.","47.76","6387775107.6","n/a","n/a","Basic Industries","Paints/Coatings","http://www.nasdaq.com/symbol/rpm",
"RBY","Rubicon Minerals Corp","0.9313","345177842.231","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rby",
"RYI","Ryerson Holding Corporation","6.38","204399250","n/a","2014","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/ryi",
"SAND          ","Sandstorm Gold Ltd","3.49","409998855.18","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sand          ",
"SWM","Schweitzer-Mauduit International, Inc.","45.77","1397215801.07","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/swm",
"SMG","Scotts Miracle-Gro Company (The)","65.57","3989869782.41","n/a","1992","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/smg",
"SA","Seabridge Gold, Inc.","5.74","278039148.24","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sa",
"SEE","Sealed Air Corporation","45.09","9475718554.89","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/see",
"SXT","Sensient Technologies Corporation","68.36","3239311471.76","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/sxt",
"SMED","Sharps Compliance Corp","6.46","100352056.04","n/a","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/smed",
"SBGL","Sibanye Gold Limited","8.76","1968460029.24","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sbgl",
"SVBL","Silver Bull Resources, Inc.","0.115","18293355.555","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/svbl",
"SSRI","Silver Standard Resources Inc.","4.79","386813738.86","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ssri",
"SLW","Silver Wheaton Corp","19.19","7747155138.32","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/slw",
"SVM","Silvercorp Metals Inc","1.19","203351731.52","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/svm",
"SVLC","SilverCrest Mines, Inc.","1.11","131816057.55","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/svlc",
"SCOK","SinoCoking Coal and Coke Chemical Industries, Inc","2.19","52472875.23","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/scok",
"SHI","SINOPEC Shangai Petrochemical Company, Ltd.","40.88","4415040000","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shi",
"SKY","Skyline Corporation","3.62","30376303.28","n/a","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/sky",
"SQM","Sociedad Quimica y Minera S.A.","18.82","4953358581.68","n/a","1993","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/sqm",
"SCTY","SolarCity Corporation","52.31","5053745158.74","n/a","2012","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/scty",
"SZYM","Solazyme, Inc.","2.91","232964580.87","n/a","2011","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/szym",
"XPL","Solitario Exploration & Royalty Corp","0.755","29632005.195","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/xpl",
"SCCO","Southern Copper Corporation","29.18","23463664028.56","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/scco",
"STLD","Steel Dynamics, Inc.","20.43","4937025930.57","n/a","1996","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/stld",
"SCL","Stepan Company","41.72","928505592.84","n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/scl",
"SRCL","Stericycle, Inc.","140.14","11903563211.54","n/a","1996","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/srcl",
"STRL","Sterling Construction Company Inc","4.8","90770116.8","n/a","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/strl",
"SWC","Stillwater Mining Company","13.15","1584820405.3","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/swc",
"SUM","Summit Materials, Inc.","21.88","508740741.4","n/a","2015","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/sum",
"SXCP","SunCoke Energy Partners, L.P.","21.29","836299089.9","n/a","2013","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sxcp",
"SXC","SunCoke Energy, Inc.","15.24","1012053546.12","n/a","2011","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sxc",
"SWSH","Swisher Hygiene, Inc.","1.76","30957183.84","n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/swsh",
"SYNL","Synalloy Corporation","14.6","127271937.6","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/synl",
"SYT","Syngenta AG","69.53","32312554874.85","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/syt",
"SYMX","Synthesis Energy Systems, Inc.","1.06","77617789.8","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/symx",
"TAHO","Tahoe Resources, Inc.","11.94","1763204969.52","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/taho",
"TANH","Tantech Holdings Ltd.","8.5","183600000","n/a","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tanh",
"TRX","Tanzanian Royalty Exploration Corporation","0.37","37641905.6","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.66","146393701.08","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgb",
"TAS","Tasman Metals Ltd","0.44","29102445.68","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tas",
"TCK","Teck Resources Ltd","13.67","7748234479.47","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/tck",
"TS","Tenaris S.A.","28.36","16740012249.4","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ts",
"TX","Ternium S.A.","18.01","3610542143","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/tx",
"TNH","Terra Nitrogen Company, L.P.","147.1","2721581829.6","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/tnh",
