Ticker&Date, BandWidth, BoilUpper, close, open, high, low, vol%, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma50,sma20,sma5,mfi,stochK,stochD,lastTradeDate
daio20171106,5.2212,13.3386,11.5500001907,12.6800003052,12.779999733,11.3199996948,1.63158880605,8.1174,0.657435108928,0.1818,0.638,0.8198,0.0157402594803,57.8617,9.716,10.728,12.588,80.3017,55.53,76.6513,1509978600
shop20171106,18.0822,108.8321,99.8399963379,100.0,100.800003052,99.0,0.407708280745,90.7499,0.502709644727,-0.0207,-1.4142,-1.4349,-0.000207331738374,45.8795,107.9684,99.791,98.826,50.4724,35.676,34.8155,1509978600
ostk20171106,25.0122,50.2936,40.5499992371,44.0999984741,44.5499992371,40.3499984741,0.649239844963,25.2814,0.610446071799,0.0199,4.2986,4.3184,0.000490752167063,57.5846,30.457,37.7875,44.17,66.0947,52.0249,68.9561,1509978600
