Ticker, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
ANTH,3.196,9.608,8.43,6.412,0.631414267835,0.142,-0.02,0.122,0.0168446026097,50.209,8.886,8.01,8.926,58.106,51.393,59.238,1443101400
ELOS,1.439,9.659,8.26,8.22,0.0277970813065,-0.043,-0.308,-0.351,-0.00520581113801,30.194,9.756,8.94,8.478,18.676,12.687,11.237,1443101400
OCLR,0.507,2.826,2.47,2.319,0.297830374753,-0.018,-0.01,-0.028,-0.00728744939271,46.542,2.457,2.573,2.46,32.286,41.667,38.194,1443101400
ADXS,8.306,20.015,15.07,11.709,0.404647242957,-0.097,0.33,0.233,-0.00643662906437,45.057,16.422,15.862,16.176,49.265,21.216,24.53,1443101400
CYTX,0.1546,0.4588,0.36,0.3042,0.360931435964,-0.0011,-0.006,-0.0071,-0.00305555555556,43.4286,0.4227,0.3815,0.38,59.0769,5.5556,10.8187,1443101400
TRIP,6.076,71.407,65.46,65.331,0.0212310730744,0.18,-2.05,-1.87,0.00274977085243,33.169,76.478,68.369,67.074,32.234,17.111,15.632,1443101400
FNSR,6.503,16.932,11.75,10.429,0.203137013686,-0.119,-1.083,-1.202,-0.0101276595745,25.768,15.976,13.681,11.89,19.08,7.538,4.383,1443101400
EPRS,1.778,6.544,5.93,4.766,0.654668166479,0.052,0.099,0.151,0.00876897133221,54.504,5.937,5.655,6.054,68.839,53.107,56.249,1443101400
ARWR,3.063,7.9,7.19,4.837,0.768201110023,0.103,0.245,0.348,0.0143254520167,60.951,6.29,6.369,7.146,80.595,47.33,58.213,1443101400
PNP.TO,0.02,0.085,0.07,0.065,0.25,0.0,-0.006,-0.005,0.0,41.598,0.091,0.075,0.07,20.823,0.0,0.0,1443101400
IDRA,1.435,3.972,3.85,2.537,0.914982578397,0.085,0.126,0.21,0.0220779220779,63.214,3.246,3.255,3.738,74.346,96.491,94.444,1443101400
PVA,0.822,1.312,0.6,0.49,0.133819951338,0.008,-0.215,-0.207,0.0133333333333,25.782,1.594,0.901,0.626,17.541,4.839,3.128,1443101400
NKO.TO,0.034,0.09,0.06,0.056,0.117647058824,0.002,-0.017,-0.014,0.0333333333333,28.511,0.137,0.073,0.064,47.799,25.0,8.333,1443101400
WBC,15.319,120.404,104.15,105.085,-0.0610353156211,-0.879,-1.938,-2.817,-0.00843975036006,30.986,118.028,112.745,107.312,20.787,18.671,7.033,1443101400
ASPS,6.599,30.101,24.96,23.502,0.220942567056,-0.172,-0.72,-0.892,-0.00689102564103,39.467,29.734,26.802,25.44,37.449,17.136,14.582,1443101400
DEPO,6.519,30.167,22.32,23.648,-0.203712225802,-0.433,-0.666,-1.098,-0.0193996415771,26.319,29.1,26.908,25.416,57.726,2.198,1.785,1443101400
ARII,5.884,42.613,35.57,36.729,-0.196974847043,-0.372,-0.514,-0.887,-0.0104582513354,26.778,41.447,39.671,37.892,28.645,12.148,6.436,1443101400
ADMS,2.528,21.0,18.77,18.472,0.117879746835,0.123,-0.789,-0.665,0.00655301012254,38.169,23.136,19.736,19.68,44.178,10.694,19.75,1443101400
RCKY,5.996,20.805,14.53,14.809,-0.0465310206805,-0.481,-0.253,-0.733,-0.0331039229181,27.648,18.123,17.807,15.566,24.492,6.89,6.198,1443101400
MNGA,0.132,1.015,0.92,0.883,0.280303030303,0.006,-0.031,-0.025,0.00652173913043,41.392,1.042,0.949,0.954,46.908,52.174,63.768,1443101400
TTI,1.194,7.668,6.56,6.474,0.07202680067,-0.102,0.099,-0.003,-0.0155487804878,43.135,6.355,7.071,6.704,27.376,11.024,7.741,1443101400
ONVI,0.22,4.167,4.09,3.947,0.65,0.007,-0.017,-0.011,0.00171149144254,51.485,4.125,4.057,4.06,28.983,79.167,57.126,1443101400
GEOS,3.46,17.878,15.02,14.418,0.173988439306,-0.088,-0.281,-0.369,-0.00585885486019,42.865,16.796,16.148,15.37,44.155,26.913,13.622,1443101400
CKR.V,0.034,0.123,0.105,0.089,0.470588235294,0.001,-0.003,-0.002,0.00952380952381,48.629,0.122,0.106,0.104,54.664,20.0,26.667,1443101400
EHIC,2.072,12.216,11.98,10.144,0.8861003861,0.158,0.051,0.209,0.0131886477462,58.049,11.541,11.18,11.788,71.423,93.782,88.946,1443101400
MRC,1.119,13.24,12.18,12.121,0.0527256478999,0.004,-0.074,-0.071,0.000328407224959,42.935,13.173,12.681,12.544,28.434,8.176,24.948,1443101400
SFLY,2.903,39.671,36.87,36.768,0.0351360661385,0.047,-1.088,-1.041,0.00127474911852,27.035,42.137,38.22,37.102,28.12,18.45,14.813,1443101400
CERE,0.125,1.177,1.08,1.052,0.224,0.04,-0.188,-0.148,0.037037037037,46.903,2.066,1.115,1.096,29.375,9.091,12.166,1443101400
ROYT,0.336,2.72,2.46,2.384,0.22619047619,0.019,-0.085,-0.066,0.00772357723577,42.512,2.895,2.552,2.512,59.947,36.667,46.597,1443101400
XGTI,0.292,0.618,0.57,0.326,0.835616438356,0.067,-0.209,-0.142,0.117543859649,43.455,1.325,0.472,0.544,78.639,64.516,56.989,1443101400
GTT,5.955,26.24,24.28,20.285,0.670864819479,0.184,0.329,0.513,0.00757825370675,53.934,23.375,23.263,24.95,69.916,54.962,57.869,1443101400
SHAK,8.027,54.651,50.94,46.624,0.537685312072,0.339,-0.971,-0.631,0.00665488810365,46.521,54.93,50.638,51.596,53.47,42.385,40.381,1443101400
BSX,1.095,17.3,16.79,16.205,0.534246575342,0.024,-0.079,-0.055,0.00142942227516,48.953,17.156,16.753,16.712,53.295,55.245,48.718,1443101400
RDCM,1.07,11.586,11.28,10.516,0.714018691589,0.022,0.134,0.155,0.00195035460993,56.43,10.577,11.051,11.346,68.741,54.745,55.475,1443101400
SBGI,2.64,27.937,25.78,25.297,0.182954545455,0.0,-0.159,-0.159,0.0,38.854,27.714,26.617,26.756,51.217,12.324,31.425,1443101400
BCC,6.738,33.904,26.8,27.166,-0.0543187889581,-0.421,-0.8,-1.222,-0.0157089552239,21.255,32.302,30.535,27.846,12.773,5.984,2.829,1443101400
CJES,1.846,5.53,4.52,3.684,0.452871072589,0.178,-0.794,-0.616,0.0393805309735,42.552,7.524,4.607,4.316,48.81,56.329,40.153,1443101400
YUME,0.279,2.891,2.68,2.612,0.243727598566,0.062,-0.274,-0.213,0.0231343283582,31.88,3.896,2.752,2.758,39.699,25.0,29.259,1443101400
