,MFI,timestamp
PSIX,59.765,1434398340
ISIS,41.258,1434398340
ENS,41.656,1434398340
BV,50.077,1434398340
MTH,46.994,1434398340
WFM,49.441,1434398340
FOMX,60.737,1434398340
PCG,47.108,1434398340
ACAD,54.208,1434398340
PLCM,73.652,1434398340
CECO,83.601,1434398340
REGN,60.877,1434398340
TPI,18.35,1434398340
GILD,51.829,1434398340
SPN.V,,1434398340
AJG,56.698,1434398340
KEX,49.011,1434398340
KBAL,48.93,1434398340
ERII,40.735,1434398340
ZMH,56.219,1434398340
CUBI,37.529,1434398340
NNBR,46.813,1434398340
PBU-UN.TO,,1434398340
VSH,51.458,1434398340
JBL,43.866,1434398340
CNAT,34.073,1434398340
RGR,51.095,1434398340
SPR,55.58,1434398340
SXC,48.493,1434398340
UC.V,,1434398340
MPC,48.692,1434398340
BDSI,41.125,1434398340
JAZZ,46.254,1434398340
ARRS,46.346,1434398340
KEM,66.338,1434398340
CBL,48.686,1434398340
CVA,52.885,1434398340
UEPS,53.501,1434398340
DAN,56.722,1434398340
PPS,60.071,1434398340
LNN,57.029,1434398340
HA,51.622,1434398340
ASCMA,52.507,1434398340
FMC,50.691,1434398340
RAIL,56.852,1434398340
COLM,34.412,1434398340
ASNA,46.097,1434398340
DIN,49.728,1434398340
SYNC,,1434398340
MBG.V,,1434398340
CASM,,1434398340
BCEI,56.693,1434398340
FLT,58.882,1434398340
RJET,38.599,1434398340
ETR,68.646,1434398340
BRKR,43.427,1434398340
CALM,45.716,1434398340
AIMC,59.793,1434398340
BA,53.452,1434398340
CXO,47.705,1434398340
JMI,44.529,1434398340
SAFM,47.262,1434398340
DXCM,55.523,1434398340
TRAK,51.667,1434398340
TYPE,51.758,1434398340
DE,53.256,1434398340
ILMN,49.106,1434398340
APAM,44.252,1434398340
HIW,50.631,1434398340
RARE,43.829,1434398340
CGNX,57.029,1434398340
OTIC,47.87,1434398340
MWA,57.398,1434398340
PGI,60.782,1434398340
SPN,48.596,1434398340
LEAF,52.145,1434398340
AEP,50.04,1434398340
KNX,56.893,1434398340
TZR.V,,1434398340
LJPC,42.267,1434398340
OMCL,63.428,1434398340
BRS,48.203,1434398340
LYB,49.562,1434398340
SFUN,37.22,1434398340
A,48.072,1434398340
AWI,39.419,1434398340
CVT,36.213,1434398340
WFT,43.438,1434398340
SJT,43.451,1434398340
JIVE,43.07,1434398340
HIBB,54.882,1434398340
FCB,51.918,1434398340
OSL-UN.TO,60.985,1434398340
BKU,47.368,1434398340
AMOT,43.454,1434398340
PRU,49.885,1434398340
LII,49.702,1434398340
BCRX,56.395,1434398340
ACHC,47.251,1434398340
LLTC,53.329,1434398340
ADT,66.133,1434398340
GALE,46.385,1434398340
TXRH,58.876,1434398340
WTW,47.938,1434398340
AGEN,59.221,1434398340
BC,52.484,1434398340
MAGS,,1434398340
CALL,44.475,1434398340
TGI,43.902,1434398340
AMAT,50.636,1434398340
FCSC,63.673,1434398340
POR,58.993,1434398340
KALU,47.583,1434398340
NTLS,54.463,1434398340
LTRX,17.313,1434398340
CMC,49.842,1434398340
WTFC,56.825,1434398340
NVDA,46.284,1434398340
YUM,56.191,1434398340
WAB,52.433,1434398340
IIVI,52.158,1434398340
RGLD,53.174,1434398340
STS,36.622,1434398340
AEGN,66.051,1434398340
NAT,58.252,1434398340
KMT,42.241,1434398340
LOPE,46.714,1434398340
EGLT,34.492,1434398340
WBMD,61.408,1434398340
MCY,56.896,1434398340
MNRO,63.86,1434398340
PBCT,50.761,1434398340
TERP,49.872,1434398340
CLR,56.64,1434398340
BRLI,48.45,1434398340
EMN,58.907,1434398340
SWN,52.589,1434398340
WG,62.45,1434398340
HRC,50.462,1434398340
VSTM,52.429,1434398340
GLMD,,1434398340
TTMI,53.383,1434398340
SLH,47.039,1434398340
