Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
BLRX,BioLineRx Ltd.,NCM,-0.34,None,1.30,1.01,None,103.77M,515433,3.28,1.20,1.94
WYNN,Wynn Resorts Limited,NMS,4.53,22.69,2.30,-2.21,2.00,10.40B,2554090,220.50,97.89,102.79
RKUS,Ruckus Wireless Inc. Common St,NYQ,0.08,144.50,6.20,3.13,None,1.00B,1330630,15.21,9.11,11.56
GRPN,Groupon Inc.,NMS,-0.07,None,6.80,1.13,None,3.82B,9024840,8.43,5.55,5.65
ENTA,Enanta Pharmaceuticals Inc.,NMS,5.86,7.37,9.50,12.00,None,807.68M,306575,52.58,30.13,43.21
CYTX,Cytori Therapeutics Inc,NGM,-0.5710,None,3.4000,-0.2030,None,83.02M,3345400,2.5300,0.3600,0.6601
PATK,Patrick Industries Inc.,NMS,2.08,17.80,2.50,7.00,0.00,570.93M,99550,43.25,23.16,36.98
SFLY,Shutterfly Inc.,NMS,-0.49,None,8.80,18.60,None,1.74B,439580,54.79,38.95,46.30
SHAK,Shake Shack Inc. Class A Commo,NYQ,-0.46,None,1.60,9.14,None,902.66M,921212,96.75,38.63,74.86
PRSS,CafePress Inc.,NMS,0.05,112.34,0.70,4.71,None,92.84M,68034,5.52,1.95,5.28
HCI.TO,HARTCO INC.,TOR,-0.32,None,0.00,4.18,None,44.95M,6312,3.50,2.36,3.40
EMITF,Elbit Imaging Ltd.,NMS,-5.44,None,1.20,1.07,0.00,38.33M,41953,4.60,1.20,1.39
ROYT,Pacific Coast Oil Trust Units o,NYQ,1.11,3.32,1.20,6.08,0.34,141.60M,167641,13.10,3.61,3.67
CBL.TO,CALLIDUS CAPITAL CORP,TOR,1.20,11.62,0.00,9.51,None,713.34M,200391,24.01,13.80,13.98
MDRX,Allscripts Healthcare Solutions,NMS,-0.31,None,5.50,7.07,None,2.55B,2779260,17.17,11.00,14.12
PNP.TO,PINETREE CAPITAL LTD,TOR,-0.58,None,0.00,0.22,None,18.17M,885835,0.51,0.06,0.09
RCKY,Rocky Brands Inc.,NMS,1.39,13.18,0.80,18.40,0.44,138.44M,83334,23.11,12.61,18.31
SYNA,Synaptics Incorporated,NMS,2.93,34.26,5.40,20.33,None,3.70B,700034,101.53,58.22,100.52
FOSL,Fossil Group Inc.,NMS,6.69,10.57,5.40,17.58,None,3.45B,1079220,115.20,68.55,70.68
PFNX,Pfenex Inc. Common Stock,ASE,-0.97,None,1.30,2.65,None,416.63M,199942,21.01,5.28,18.01
OCLR,Oclaro Inc.,NMS,-0.62,None,7.90,1.48,None,294.27M,1090990,2.85,1.31,2.68
IDRA,Idera Pharmaceuticals Inc.,NCM,-0.47,None,10.50,0.96,None,438.50M,1854010,5.48,1.94,3.72
GRUB,GrubHub Inc. Common Stock,NYQ,0.36,105.94,2.70,9.69,None,3.17B,1509760,47.95,30.62,37.82
ARWR,Arrowhead Research Corporation,NMS,-1.58,None,12.80,2.43,None,401.02M,1388760,17.42,4.95,6.74
CKR.V,CARIBOU KING RESOURCES LTD,VAN,-0.130,None,0.000,0.038,None,2.63M,35737,0.450,0.035,0.155
SBGI,Sinclair Broadcast Group Inc.,NMS,2.16,13.60,11.10,4.58,0.66,2.80B,994677,36.14,23.88,29.38
NBU.V,NEBU RESOURCES INC.,VAN,-0.034,None,0.000,0.048,None,198555.00,6995,0.095,0.010,0.015
ATW,Atwood Oceanics Inc. Common St,NYQ,5.43,5.26,3.50,42.04,1.00,1.85B,2042280,53.90,26.12,28.56
GEOS,Geospace Technologies Corporati,NMS,-0.68,None,18.00,23.98,None,295.68M,217428,58.37,14.95,22.49
DXR,Daxor Corporation Common Stock,ASE,-0.25,None,0.30,6.16,0.03,27.33M,38377,9.18,5.40,6.85
VGGL,Viggle Inc.,NCM,-5.33,None,0.30,0.29,None,36.58M,2337430,5.70,1.27,2.12
SLCA,U.S. Silica Holdings Inc. Comm,NYQ,2.16,14.39,9.30,7.46,0.50,1.66B,1924260,73.43,22.71,31.09
FET,Forum Energy Technologies Inc.,NYQ,1.76,12.33,5.70,15.56,None,1.95B,882558,37.03,14.96,21.76
OSHC,Ocean Shore Holding Co.,NGM,1.02,14.71,0.80,17.65,0.24,89.72M,9227,15.72,13.70,14.99
FLML,Flamel Technologies S.A.,NGM,-1.19,None,2.90,0.62,None,805.06M,431569,20.69,9.30,20.00
FNSR,Finisar Corporation,NMS,0.32,70.28,13.30,10.40,None,2.34B,913716,23.38,14.22,22.49
NBR,Nabors Industries Ltd.,NYQ,-2.05,None,1.80,17.05,0.24,4.21B,8220910,30.24,9.91,14.49
REXI,Resource America Inc.,NMS,0.28,29.82,14.20,7.39,0.24,180.13M,29650,9.96,7.95,8.26
ONVI,Onvia Inc.,NCM,-0.1510,None,54.7000,0.6760,0.0000,32.69M,6600,5.4900,4.1500,4.4101
EPRS,EPIRUS Biopharmaceuticals Inc.,NCM,-3.83,None,3.60,3.13,None,134.03M,201970,14.60,3.78,5.70
IMPV,Imperva Inc. Common Stock,NYQ,-2.35,None,2.60,7.10,None,1.95B,492183,64.74,21.37,63.89
TSO,Tesoro Corporation Common Stock,NYQ,7.06,11.77,2.40,36.27,1.70,10.41B,2279460,94.83,55.59,83.14
TSLA,Tesla Motors Inc.,NMS,-3.18,None,5.70,6.54,None,31.65B,4498370,291.42,181.40,250.38
EXXI,Energy XXI Ltd.,NMS,-10.88,None,8.30,9.66,0.04,320.13M,3699230,24.20,2.30,3.39
ACHN,Achillion Pharmaceuticals Inc.,NMS,-0.71,None,4.60,2.26,None,1.03B,3374900,16.87,6.61,8.73
NFLX,Netflix Inc.,NMS,3.84,170.45,2.00,31.49,None,39.65B,2593260,692.79,315.54,654.02
ADMS,Adamas Pharmaceuticals Inc.,NGM,0.17,129.12,4.00,7.76,None,393.53M,110698,22.73,13.60,22.08
ADXS,Advaxis Inc.,NCM,-0.96,None,2.50,1.31,None,667.14M,1699930,30.13,2.50,24.52
CERE,Ceres Inc.,NCM,-4.68,None,0.20,2.40,None,13.75M,536864,6.56,1.44,2.28
MACK,Merrimack Pharmaceuticals Inc.,NGM,-0.86,None,14.50,-1.18,None,1.20B,1279360,13.84,5.53,10.92
ELOS,Syneron Medical Ltd.,NMS,-0.15,None,2.40,6.10,None,407.61M,158711,12.90,8.32,11.10
VVUS,VIVUS Inc.,NMS,-0.80,None,34.20,0.66,None,257.46M,1605080,5.52,2.22,2.48
ANTH,Anthera Pharmaceuticals Inc.,NGM,-1.24,None,2.20,0.98,None,309.45M,826608,8.96,1.46,8.64
FCX,Freeport-McMoRan Inc. Common S,NYQ,-4.13,None,2.60,15.19,0.20,20.37B,18317200,39.32,16.43,19.59
TRIP,TripAdvisor Inc.,NMS,1.51,50.22,5.90,8.22,None,10.88B,1619890,111.24,66.04,75.83
NKO.TO,NIKO RES,TOR,-2.578,None,0.000,0.343,None,27.74M,285451,2.540,0.220,0.295
PVA,Penn Virginia Corporation Commo,NYQ,-7.29,None,7.40,8.55,0.00,300.97M,3698080,17.27,4.10,4.22
DEPO,Depomed Inc.,NMS,1.603,12.979,6.300,6.005,None,1.25B,1652270,28.160,9.850,20.805
WBC,Wabco Holdings Inc. Common Stoc,NYQ,4.91,25.38,2.50,13.48,0.00,7.31B,557941,133.31,85.22,124.70
ASPS,Altisource Portfolio Solutions,NMS,4.34,7.36,7.50,2.03,0.00,642.81M,619191,122.25,12.28,31.93
MNGA,MagneGas Corporation,NCM,-0.24,None,0.70,0.40,None,43.52M,1371960,1.77,0.42,1.16
TTI,Tetra Technologies Inc. Common,NYQ,-2.13,None,5.50,4.48,None,529.59M,813098,12.11,4.72,6.65
MRC,MRC Global Inc. Common Stock,NYQ,1.45,10.60,3.00,13.46,None,1.57B,2076110,29.07,10.20,15.37
EHIC,eHi Car Services Limited Americ,NYQ,-1.80,None,3.70,6.71,None,1.02B,233542,19.00,7.91,17.96
ARII,American Railcar Industries In,NMS,5.33,10.21,5.60,24.40,1.60,1.16B,243330,82.82,46.18,54.38
XGTI,XG Technology Inc,NCM,-0.719,None,0.400,0.445,None,9.65M,1459690,3.010,0.200,0.265
GTT,GTT Communications Inc. Common,NYQ,-0.41,None,6.60,2.30,None,774.52M,93638,22.50,9.46,22.22
BCC,Boise Cascade L.L.C. Common St,NYQ,2.08,16.75,2.80,12.70,None,1.38B,349930,43.90,25.72,34.82
