Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
ANTH,Anthera Pharmaceuticals Inc.,NGM,-1.24,None,2.20,0.98,None,280.80M,822728,8.06,1.46,7.84
FCX,Freeport-McMoRan Inc. Common S,NYQ,-4.13,None,2.60,15.19,0.20,20.73B,18382400,39.32,16.43,19.93
TRIP,TripAdvisor Inc.,NMS,1.51,50.50,5.90,8.22,None,10.94B,1626570,111.24,66.04,76.26
NKO.TO,NIKO RES,TOR,-2.578,None,0.000,0.343,None,25.86M,291078,2.540,0.220,0.275
PVA,Penn Virginia Corporation Commo,NYQ,-7.29,None,7.40,8.55,0.00,304.54M,3790030,17.27,4.25,4.27
DEPO,Depomed Inc.,NMS,1.60,13.39,6.30,6.01,None,1.29B,1653320,28.16,9.85,21.47
WBC,Wabco Holdings Inc. Common Stoc,NYQ,4.91,25.82,2.50,13.48,0.00,7.44B,558709,133.31,85.22,126.86
ASPS,Altisource Portfolio Solutions,NMS,4.34,7.17,7.50,2.03,0.00,626.31M,618194,122.25,12.28,31.11
MNGA,MagneGas Corporation,NCM,-0.24,None,0.70,0.40,None,46.52M,1396220,1.77,0.42,1.24
TTI,Tetra Technologies Inc. Common,NYQ,-2.13,None,5.50,4.48,None,544.72M,817569,12.11,4.72,6.84
MRC,MRC Global Inc. Common Stock,NYQ,1.45,10.75,3.00,13.46,None,1.59B,2109390,29.07,10.20,15.59
EHIC,eHi Car Services Limited Americ,NYQ,-1.80,None,3.70,6.71,None,1.02B,211053,18.98,7.91,17.97
ARII,American Railcar Industries In,NMS,5.33,10.31,5.60,24.40,1.60,1.17B,244309,82.82,46.18,54.91
EXADE,EXPERIENCE ART & DES,OBB,-0.03,None,0.00,0.00,None,None,5192,5.00,0.40,1.19
XGTI,XG Technology Inc,NCM,-0.72,None,0.40,0.44,None,10.56M,1457800,3.01,0.20,0.29
GTT,GTT Communications Inc. Common,NYQ,-0.41,None,6.60,2.30,None,767.20M,94856,22.50,9.46,22.01
BCC,Boise Cascade L.L.C. Common St,NYQ,2.08,16.94,2.80,12.70,None,1.39B,357095,43.90,25.72,35.22
BSX,Boston Scientific Corporation C,NYQ,-0.19,None,2.10,4.85,None,23.88B,10433400,18.62,11.10,17.81
RDCM,Radcom Ltd.,NCM,0.12,88.76,1.50,1.23,None,90.90M,27178,13.63,4.97,10.74
CJES,C&J Energy Services Ltd. Commo,NYQ,0.47,32.15,2.30,12.31,None,1.78B,1930710,34.93,9.11,14.95
VRW.V,MEDIAVALET INC.,VAN,-0.01,None,0.00,0.00,None,4.04M,160095,0.12,0.02,0.06
BLRX,BioLineRx Ltd.,NCM,-0.34,None,1.30,1.01,None,103.24M,543586,3.28,1.20,1.93
WYNN,Wynn Resorts Limited,NMS,4.53,23.05,2.30,-2.21,2.00,10.56B,2569000,220.50,97.89,104.45
RKUS,Ruckus Wireless Inc. Common St,NYQ,0.08,141.38,6.20,3.13,None,979.02M,1324450,15.21,9.11,11.31
GRPN,Groupon Inc.,NMS,-0.074,None,6.800,1.129,None,3.96B,8993360,8.430,5.680,5.855
ENTA,Enanta Pharmaceuticals Inc.,NMS,5.86,7.25,9.50,12.00,None,794.60M,307180,52.58,30.13,42.51
PATK,Patrick Industries Inc.,NMS,2.08,17.66,2.50,7.00,0.00,566.46M,100658,43.25,23.16,36.69
AMRE,AmREIT Inc.,NYQ,0,None,0,0,0,None,None,None,None,None
PRSS,CafePress Inc.,NMS,0.05,109.79,0.70,4.71,None,90.73M,68381,5.52,1.95,5.16
ROYT,Pacific Coast Oil Trust Units o,NYQ,1.11,3.37,1.20,6.08,0.34,143.53M,167886,13.10,3.62,3.72
RCKY,Rocky Brands Inc.,NMS,1.39,12.69,0.80,18.40,0.44,133.30M,83203,23.11,12.61,17.63
PFNX,Pfenex Inc. Common Stock,ASE,-0.97,None,1.30,2.65,None,414.31M,199784,21.01,5.28,17.91
GRUB,GrubHub Inc. Common Stock,NYQ,0.36,104.48,2.70,9.69,None,3.13B,1506650,47.95,30.62,37.30
NBU.V,NEBU RESOURCES INC.,VAN,-0.034,None,0.000,0.048,None,198555.00,6995,0.095,0.010,0.015
DXR,Daxor Corporation Common Stock,ASE,-0.25,None,0.30,6.16,0.03,28.17M,38605,9.18,5.40,7.06
FET,Forum Energy Technologies Inc.,NYQ,1.76,12.29,5.70,15.56,None,1.94B,883231,37.03,14.96,21.70
FNSR,Finisar Corporation,NMS,0.32,72.03,13.30,10.40,None,2.40B,934119,23.38,14.22,23.05
BPZ,BPZ Resources Inc,NYQ,-1,None,0,0,None,None,2645700,3,0,None
ONVI,Onvia Inc.,NCM,-0.15,None,54.70,0.68,0.00,33.06M,6872,5.49,4.15,4.46
TSO,Tesoro Corporation Common Stock,NYQ,7.06,11.94,2.40,36.27,1.70,10.55B,2312000,94.83,55.59,84.29
NILE,Blue Nile Inc.,NMS,0.83,36.08,14.00,1.33,None,353.64M,130016,37.50,23.10,29.80
EXPE,Expedia Inc.,NMS,3.43,31.47,4.30,13.05,0.72,13.76B,1591860,115.00,70.91,107.87
ELNK,EarthLink Holdings Corp.,NMS,-0.56,None,4.10,0.59,0.20,746.36M,1002690,7.33,2.95,7.24
HEES,H&E Equipment Services Inc.,NMS,1.52,14.34,3.70,3.75,1.00,765.09M,402452,42.38,17.40,21.79
ZGNX,Zogenix Inc.,NGM,0.05,34.78,12.60,0.22,None,245.38M,2473060,2.39,1.07,1.60
