Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
CYTX,Cytori Therapeutics Inc,NGM,-0.4770,None,2.5000,-0.0570,None,71.41M,5699950,2.5400,0.3600,0.6601
SFLY,Shutterfly Inc.,NMS,-0.49,None,9.30,18.60,None,1.78B,454748,54.79,38.95,47.37
HCI.TO,HARTCO INC.,TOR,-0.28,None,0.00,4.30,None,44.95M,6135,3.50,2.36,3.40
CBL.TO,CALLIDUS CAPITAL CORP,TOR,1.03,13.93,0.00,9.17,None,732.22M,200667,24.01,14.26,14.35
PNP.TO,PINETREE CAPITAL LTD,TOR,-0.39,None,0.00,0.25,None,18.17M,1078100,0.51,0.06,0.09
SYNA,Synaptics Incorporated,NMS,2.93,32.87,6.70,20.33,None,3.55B,719257,97.57,57.59,96.45
OCLR,Oclaro Inc.,NMS,-0.62,None,15.10,1.48,None,241.57M,780952,2.34,1.31,2.20
ARWR,Arrowhead Research Corporation,NMS,-1.38,None,7.60,2.67,None,343.00M,1598020,17.42,4.95,6.26
SBGI,Sinclair Broadcast Group Inc.,NMS,2.16,14.13,11.20,4.58,0.66,2.91B,1045410,36.14,23.88,30.53
GEOS,Geospace Technologies Corporati,NMS,-0.68,None,9.80,23.98,None,263.07M,239294,58.37,14.95,20.01
SLCA,U.S. Silica Holdings Inc. Comm,NYQ,2.16,14.72,8.10,7.46,0.50,1.70B,2062730,73.43,22.71,31.81
FLML,Flamel Technologies S.A.,NGM,-2.35,None,2.20,0.62,None,713.28M,450149,19.50,9.30,17.72
REXI,Resource America Inc.,NMS,0.28,29.96,16.90,7.39,0.24,181.01M,44144,9.96,8.19,8.30
IMPV,Imperva Inc. Common Stock,NYQ,-2.35,None,4.80,8.05,None,1.62B,493538,60.84,19.09,60.13
EXXI,Energy XXI Ltd.,NMS,-10.881,None,5.700,9.663,0.040,326.27M,4494900,24.200,2.300,3.455
NFLX,Netflix Inc.,NMS,3.84,162.07,2.00,31.49,None,37.70B,2522740,628.50,315.54,621.87
ADXS,Advaxis Inc.,NCM,-0.96,None,2.10,1.31,None,630.14M,1500020,24.48,2.50,23.16
MACK,Merrimack Pharmaceuticals Inc.,NGM,-0.86,None,11.50,-1.18,None,1.38B,1385200,13.84,5.53,12.56
ELOS,Syneron Medical Ltd.,NMS,-0.14,None,2.10,6.20,None,405.52M,197538,12.90,8.32,11.03
VVUS,VIVUS Inc.,NMS,-0.80,None,13.90,0.66,None,262.65M,1964990,5.52,2.22,2.53
KIM,Kimco Realty Corporation Common,NYQ,1.43,17.06,4.30,12.15,0.96,10.05B,2545980,28.54,21.54,24.34
ANTH,Anthera Pharmaceuticals Inc.,NGM,-1.36,None,1.20,-0.10,None,137.89M,879251,6.37,1.46,4.74
FCS,Fairchild Semiconductor Interna,NMS,-0.21,None,3.90,9.89,None,2.37B,1540200,20.84,12.01,20.35
FCX,Freeport-McMoRan Inc. Common S,NYQ,-4.13,None,2.60,15.19,0.20,21.83B,18392000,39.32,16.43,20.99
MZI.V,MEZZI HOLDINGS INC,VAN,-0.10,None,0.00,0.08,None,8.41M,1177700,0.26,0.08,0.22
TRIP,TripAdvisor Inc.,NMS,1.51,53.16,8.00,8.22,None,11.52B,1781420,111.24,66.04,80.27
HCLP,Hi-Crush Partners LP Common Uni,NYQ,2.88,10.35,3.70,4.76,2.70,1.10B,350571,71.88,28.23,29.86
NKO.TO,NIKO RES,TOR,-2.578,None,0.000,0.343,None,36.20M,314821,2.940,0.220,0.385
AZPN,Aspen Technology Inc.,NMS,1.26,34.88,8.20,-0.31,None,3.75B,698210,47.63,31.57,43.95
PVA,Penn Virginia Corporation Commo,NYQ,-6.26,None,5.10,9.42,0.00,372.93M,4164750,17.27,4.32,5.23
