Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
CJES,C&J Energy Services Ltd. Commo,NYQ,1.22,9.32,2.20,14.49,None,613.48M,1683980,34.93,9.11,11.37
PERY,Perry Ellis International Inc.,NMS,-2.50,None,5.70,23.74,0.00,355.16M,118353,27.00,13.72,23.75
YUME,YuMe Inc. Common Stock,NYQ,-0.27,None,5.70,3.27,None,176.28M,112897,7.15,4.20,5.29
LAKE,Lakeland Industries Inc.,NGM,-0.76,None,4.30,7.80,None,63.70M,147095,29.55,5.50,9.04
CRK,Comstock Resources Inc. Common,NYQ,-1.24,None,4.50,18.57,0.00,177.17M,2973150,29.49,3.23,3.72
AMDA,Amedica Corporation,NCM,-2.66,None,0.10,0.26,None,8.17M,506729,7.75,0.30,0.31
CSIQ,Canadian Solar Inc.,NMS,4.11,8.25,1.50,12.99,None,1.87B,2923980,41.12,18.68,33.89
PSMH.OB,PSM HOLDINGS INC,OBB,-0.1960,None,0.0000,0.0000,None,3.39M,None,0.4500,0.0900,0.1150
REXX,Rex Energy Corporation,NMS,-0.92,None,3.60,10.01,None,202.72M,3731690,22.00,2.47,3.85
DRIV,Digital River Inc.,NMS,-0.29,None,0.00,0.00,None,None,514199,26.00,13.61,25.99
FRGI,Fiesta Restaurant Group Inc.,NMS,1.35,45.01,4.70,7.63,None,1.59B,358358,69.00,35.34,60.77
HART,Harvard Apparatus Regenerative,NCM,-1.41,None,0.00,0.83,None,25.51M,115474,10.82,1.85,3.25
PLPM,Planet Payment Inc.,NCM,0.05,38.40,0.40,0.45,None,102.79M,243823,3.04,1.33,1.92
JACK,Jack In The Box Inc.,NMS,2.27,42.07,1.10,5.58,0.80,3.63B,618568,99.99,52.41,95.34
STXS,Stereotaxis Inc.,NCM,-0.26,None,1.90,-0.61,None,40.01M,253885,4.60,1.32,1.93
ARIA,ARIAD Pharmaceuticals Inc.,NMS,-0.87,None,7.00,0.43,None,1.53B,6204730,9.19,4.90,8.18
KND,Kindred Healthcare Inc. Common,NYQ,-1.36,None,4.30,20.60,0.48,1.69B,1404470,26.81,16.94,24.21
TTS,Tile Shop Hldgs Inc.,NMS,0.21,59.37,10.80,1.83,None,630.66M,479282,16.69,6.94,12.29
HABT,The Habit Restaurants Inc.,NGM,-0.00,None,6.40,4.63,None,284.66M,418915,44.20,29.05,31.72
PDCE,PDC Energy Inc.,NMS,4.24,12.71,4.10,32.18,None,1.91B,1244570,70.44,27.91,53.93
FNHC,Federated National Holding Comp,NGM,2.99,10.09,3.50,14.13,0.16,426.91M,125940,37.04,18.02,30.16
EPZM,Epizyme Inc.,NMS,-1.67,None,17.70,4.66,None,611.19M,396423,40.98,16.51,17.73
CBZ,CBIZ Inc. Common Stock,NYQ,0.58,16.27,22.00,8.25,None,454.93M,269256,9.45,7.78,9.39
ADSK,Autodesk Inc.,NMS,0.35,170.91,1.60,9.78,0.00,13.59B,1978770,65.00,44.76,59.82
DISCA,Discovery Communications Inc.,NMS,1.66,19.41,2.60,8.25,None,17.72B,4752040,44.99,28.72,32.15
RRD,R.R. Donnelley & Sons Company,NMS,0.59,32.75,10.10,2.97,1.04,3.86B,1784730,19.91,14.32,19.32
CHDN,Churchill Downs Incorporated,NMS,2.64,44.22,11.90,40.86,1.00,2.00B,60074,117.15,83.71,116.57
KS,KapStone Paper and Packaging Co,NYQ,1.76,17.86,3.40,8.10,0.40,3.02B,769318,35.88,23.55,31.43
THLD,Threshold Pharmaceuticals Inc.,NCM,-0.49,None,8.00,-0.38,None,288.66M,653887,5.41,2.58,4.05
CHUY,Chuy's Holdings Inc.,NMS,0.69,33.25,11.80,7.19,None,377.13M,283342,41.38,18.40,22.94
QUIK,QuickLogic Corporation,NGM,-0.24,None,12.50,0.63,None,108.44M,373482,5.48,1.80,1.93
CLVS,Clovis Oncology Inc.,NMS,-4.72,None,13.30,9.76,None,2.36B,523977,83.46,35.33,69.52
ADI,Analog Devices Inc.,NMS,2.07,30.07,3.20,15.42,1.60,19.40B,2124070,64.94,42.57,62.24
BDI.TO,BLACK DIAMOND GROUP LTD,TOR,0.64,10.72,0.00,8.93,None,541.29M,267856,35.99,9.65,13.18
KITE,Kite Pharma Inc.,NMS,-1.91,None,3.10,5.04,None,2.26B,1393800,89.21,21.00,53.95
LDRH,LDR Holding Corporation,NMS,-0.43,None,5.20,4.07,None,946.75M,228366,40.43,21.70,35.76
MTSN,Mattson Technology Inc.,NMS,0.13,29.08,1.00,1.01,None,282.17M,1028750,5.10,1.81,3.78
KEL.TO,KELT EXPLORATION LTD,TOR,0.07,89.56,0.00,4.88,None,1.05B,929671,15.61,5.79,8.06
OXGN,OXiGENE Inc.,NCM,-0.75,None,4.50,1.40,None,29.87M,387742,3.70,1.34,1.44
BPC.V,BLACK PANTHER MINING CORP.,VAN,-0.00,None,0.00,0.05,None,479200.00,3295,0.08,0.03,0.04
DNR,Denbury Resources Inc. Common S,NYQ,1.81,4.33,2.40,16.31,0.25,2.74B,14179600,18.59,6.04,7.84
SPPI,Spectrum Pharmaceuticals Inc.,NMS,-0.71,None,11.90,3.91,0.00,388.92M,1250030,9.27,5.65,5.97
ACM,AECOM Common Stock,NYQ,0.63,48.94,2.70,23.71,None,4.83B,1752900,38.24,24.82,31.08
CRAY,Cray Inc,NMS,1.54,18.82,11.90,11.65,None,1.13B,281811,36.69,24.23,28.98
HBOS,Heritage Financial Group,NMS,0.95,29.08,0.60,18.03,0.28,252.90M,45294,28.28,17.27,27.63
PHH,PHH Corp Common Stock,NYQ,1.47,16.67,28.70,30.21,None,1.26B,488474,26.02,20.98,24.55
ESCRP,Escalera Resources Co.,NMS,-1.56,None,0.00,1.35,None,86.88M,52929,27.47,4.54,6.08
CANK,CANNABIS KINETICS CO,OBB,-0.01,None,0.00,0.00,None,None,234048,1.33,0.20,0.43
CSWC,Capital Southwest Corporation,NMS,1.20,39.46,1.50,47.17,0.20,734.10M,129727,50.44,32.01,47.23
BHT.V,BRAVEHEART RESOURCES INC,VAN,-0.326,None,0.000,-0.144,None,324610.00,4170,0.090,0.035,0.065
DTSI,DTS Inc.,NMS,1.55,21.92,6.40,12.96,None,573.58M,172252,34.85,16.76,33.97
PBFX,PBF Logistics LP Common Units r,NYQ,0.94,24.18,6.20,-3.65,1.32,745.75M,56847,29.70,18.50,22.61
BLL,Ball Corporation Common Stock,NYQ,3.30,21.33,2.60,7.54,0.52,9.67B,1243580,77.20,53.61,70.38
ONVO,Organovo Holdings Inc. Common,ASE,-0.37,None,20.40,0.60,None,299.30M,1253210,9.25,3.29,3.72
FNGN,Financial Engines Inc.,NMS,0.69,59.10,23.40,7.32,0.28,2.12B,480829,51.01,29.40,40.78
NVAX,Novavax Inc.,NMS,-0.37,None,7.20,0.96,None,1.90B,5949250,9.95,3.34,7.94
ESP,Espey Mfg. & Electronics Corp.,ASE,0.93,31.02,1.50,13.40,1.00,65.33M,7663,31.50,16.57,28.82
ANW,Aegean Marine Petroleum Network,NYQ,0.37,37.78,11.40,11.76,0.08,674.83M,299534,15.37,6.99,13.98
VMI,Valmont Industries Inc. Common,NYQ,7.09,17.20,16.80,49.60,1.50,2.93B,257239,163.23,116.71,121.98
THRX,Theravance Inc.,NMS,-1.50,None,24.00,-1.92,1.00,1.77B,992313,31.80,10.58,15.18
RKN.TO,REDKNEE SOLUTIONS INC.,TOR,-0.33,None,0.00,1.11,None,505.00M,367362,5.99,2.83,4.63
NILE,Blue Nile Inc.,NMS,0.80,36.24,7.10,1.15,None,344.17M,134803,37.50,23.10,28.99
EXPE,Expedia Inc.,NMS,2.99,32.77,3.90,14.04,0.72,12.42B,2219370,98.31,66.93,97.98
