Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
VRW.V,MEDIAVALET INC.,VAN,0.02,3.53,0.00,0.02,None,3.47M,160095,0.12,0.02,0.06
BLRX,BioLineRx Ltd.,NCM,-0.31,None,0.10,0.80,None,117.68M,740587,3.28,1.20,2.20
WYNN,Wynn Resorts Limited,NMS,7.18,18.21,2.90,-0.28,6.00,13.21B,2104750,225.50,121.53,130.72
RKUS,Ruckus Wireless Inc. Common St,NYQ,0.09,139.67,3.00,3.05,None,1.07B,1652470,15.21,8.65,12.57
GRPN,Groupon Inc.,NMS,-0.11,None,5.70,1.13,None,4.80B,11475100,8.43,5.18,7.11
ENTA,Enanta Pharmaceuticals Inc.,NMS,4.20,7.88,10.90,10.41,None,618.12M,355684,52.58,30.13,33.09
PATK,Patrick Industries Inc.,NMS,2.87,22.00,1.40,9.94,0.00,649.37M,74805,64.86,34.74,63.15
AMRE,AmREIT Inc.,NYQ,0,None,1,11,0,None,None,None,None,None
PRSS,CafePress Inc.,NMS,-0.92,None,0.60,4.03,None,67.27M,107060,6.10,1.95,3.83
ROYT,Pacific Coast Oil Trust Units o,NYQ,1.40,2.83,0.60,6.12,0.09,153.17M,264187,13.48,3.62,3.97
RCKY,Rocky Brands Inc.,NMS,1.30,17.49,0.40,18.32,0.40,171.89M,58918,23.11,12.61,22.74
PFNX,Pfenex Inc. Common Stock,ASE,-1.04,None,0.50,2.93,None,350.72M,176113,18.72,5.28,17.09
GRUB,GrubHub Inc. Common Stock,NYQ,0.30,150.98,3.20,9.41,None,3.75B,1762660,47.95,29.86,44.84
NBU.V,NEBU RESOURCES INC.,VAN,-0.28,None,0.00,0.04,None,264740.00,6627,0.25,0.01,0.02
DXR,Daxor Corporation Common Stock,ASE,-0.25,None,0.20,6.16,0.03,23.06M,24518,8.58,5.40,5.78
FET,Forum Energy Technologies Inc.,NYQ,1.83,11.02,2.90,15.62,None,1.80B,942326,37.03,14.96,20.17
FNSR,Finisar Corporation,NMS,0.32,66.06,6.80,10.40,None,2.20B,1462970,28.85,14.22,21.14
BPZ,BPZ Resources Inc,NYQ,-1,None,0,0,None,None,2645700,3,0,None
ONVI,Onvia Inc.,NCM,-0.10,None,4.40,0.73,0.00,34.71M,13997,5.49,4.15,4.69
TSO,Tesoro Corporation Common Stock,NYQ,6.45,13.44,2.30,35.69,1.70,10.81B,3388550,94.83,47.03,86.65
RKN.TO,REDKNEE SOLUTIONS INC.,TOR,-0.33,None,0.00,1.11,None,511.55M,367362,5.99,2.83,4.69
NILE,Blue Nile Inc.,NMS,0.80,35.69,12.70,1.15,None,338.95M,134803,37.50,23.10,28.55
EXPE,Expedia Inc.,NMS,2.99,32.97,5.90,14.04,0.72,12.49B,2219370,100.09,66.93,98.58
ELNK,EarthLink Holdings Corp.,NMS,-0.71,None,8.60,0.73,0.20,481.85M,728436,4.75,2.95,4.71
HEES,H&E Equipment Services Inc.,NMS,1.56,16.90,2.80,3.80,1.00,925.14M,624481,42.38,17.40,26.37
ZGNX,Zogenix Inc.,NGM,0.06,24.33,5.00,0.36,None,223.91M,3656640,3.10,1.07,1.46
SAIA,Saia Inc.,NMS,2.04,19.64,5.50,14.87,None,988.85M,305394,62.31,35.19,40.07
CAM,Cameron International Corporati,NYQ,3.96,11.75,2.20,23.36,None,9.00B,3338290,74.89,39.52,46.48
