Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,float,Title, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
A20170816,1.78,3.38571196982,0.0214829916493,-0.000160901045857,0.0323974082073,320813000.0,0.0,3.2604,61.8432,62.1399993896,58.5828,1.09103158804,0.0523,-0.0499,0.0024,0.000841647900124,63.059,60.029,60.213,59.808,63.8083,93.3334,62.029,1502913708.0
AA-PB20161031,-1.03,0.105861333689,6.24768037753e-05,0.00292112950341,-0.197819314642,406855000.0,0.0,,,,,,,,,,,,,,,,,
AA20170816,0.88,1.23237060952,0.0247414651821,0.0334562697576,0.0909343715239,173876000.0,0.0,3.9852,39.2146,39.2299995422,35.2294,1.00386418304,0.0557,1.0021,1.0578,0.00141983177797,66.667,34.3088,37.222,38.598,62.3894,76.5243,56.4772,1502913628.0
AAC20170816,-0.2,1.01082602843,0.013329905834,-0.00799086757991,0.227401129944,9239000.0,0.0,3.9822,9.4186,8.68999958038,5.4364,0.817035703979,0.173,0.3932,0.5662,0.0199079411224,68.6802,6.9162,7.4275,8.708,72.6985,83.3333,87.1399,1502913722.0
AAL20170816,4.03,0.771232548716,0.00967553578649,-0.00472861842105,-0.0509703979612,432775000.0,0.0,4.5472,52.4521,48.4099998474,47.9049,0.111079311975,-0.292,-0.3716,-0.6636,-0.00603181162818,36.8174,50.1602,50.1785,48.53,48.0883,21.272,25.0731,1502913601.0
AAMC20170816,-3.36,1.16214788732,0.0082,0.0191518467852,-0.162262453615,805000.0,0.0,30.911,101.7755,74.5,70.8645,0.117611853386,-1.8512,-2.5762,-4.4275,-0.0248483221477,25.6467,88.5103,86.32,74.01,42.6149,20.0,17.3672,1502913600.0
AAME20170816,0.05,0.122054380665,3.4839599862e-05,0.0,-0.0616246498599,5798000.0,0.0,0.5044,3.7622,3.45000004768,3.2578,0.381046882799,-0.0157,-0.063,-0.0786,-0.00455072457478,45.9968,3.6365,3.51,3.33,21.6608,55.5555,33.3333,1502913601.0
AAN20170816,1.95,0.831157527222,0.00975656516373,-0.00837373292199,0.0799136069114,69686000.0,0.0,10.9948,49.5374,45.0,38.5426,0.587314002983,-0.1772,1.7286,1.5514,-0.00393777777778,61.563,40.2235,44.04,45.172,57.8705,34.1513,57.2358,1502913722.0
AAOI20170816,4.21,0.88279285103,0.183252295322,-0.0307896287566,-0.154913294798,18407000.0,0.0,57.2216,111.6768,68.9199981689,54.4552,0.252785629359,-2.7838,-0.5637,-3.3474,-0.0403917596338,42.2744,73.4012,83.066,67.074,52.0252,15.4569,14.2754,1502740801.0
AAON20170816,0.96,1.20312799705,0.00400412482506,-0.0151975683891,-0.0878378378378,40729000.0,0.0,5.0998,36.8739,32.4000015259,31.7741,0.122730602353,-0.1345,-0.7587,-0.8932,-0.0041512343724,30.5924,36.045,34.324,33.066,28.198,44.5455,54.4242,1502913601.0
