Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
VRW.V,MEDIAVALET INC.,VAN,-0.01,None,0.00,0.02,None,None,None,None,None,None
BLRX,BioLineRx Ltd.,NCM,-0.33,None,5.45,0.95,None,74.74M,183949,3.28,1.03,1.37
WYNN,Wynn Resorts Limited,NMS,1.92,37.62,2.43,-2.06,2.00,7.30B,4618820,187.00,50.96,72.19
RKUS,Ruckus Wireless Inc. Common St,NYQ,0.05,230.40,5.55,3.35,None,1.02B,1519000,13.50,9.11,11.52
GRPN,Groupon Inc.,NMS,0.12,31.14,8.59,1.20,None,2.51B,9201390,8.43,3.17,3.83
ENTA,Enanta Pharmaceuticals Inc.,NMS,3.55,9.02,15.89,12.20,None,598.44M,382383,52.58,16.75,31.98
PATK,Patrick Industries Inc.,NMS,2.41,17.00,2.26,8.62,0.00,628.41M,151715,48.00,25.91,40.96
PRSS,CafePress Inc.,NMS,-0.19,None,3.08,4.23,None,81.52M,20882,5.36,1.95,4.77
ROYT,Pacific Coast Oil Trust Units o,NYQ,0.49,4.02,1.51,5.97,0.32,76.39M,141728,10.27,1.98,1.98
RCKY,Rocky Brands Inc.,NMS,1.28,10.16,1.40,18.70,0.44,98.30M,45322,23.11,11.28,12.99
PFNX,Pfenex Inc. Common Stock,ASE,-0.88,None,6.94,3.72,None,422.33M,104469,24.41,6.27,18.21
GRUB,GrubHub Inc. Common Stock,NYQ,0.44,55.95,7.21,10.11,None,2.06B,2662730,47.95,22.49,24.34
NBU.V,NEBU RESOURCES INC.,VAN,-0.01,None,0.00,0.05,None,132370.00,1249,0.05,0.01,0.01
DXR,Daxor Corporation Common Stock,ASE,-1.2790,None,2.6000,5.0130,0.0300,34.36M,2671,9.1800,5.4000,8.8197
FET,Forum Energy Technologies Inc.,NYQ,0.98,14.04,6.29,15.88,None,1.24B,1335510,28.45,8.34,13.73
FNSR,Finisar Corporation,NMS,0.00,2987.50,5.11,10.37,None,1.27B,1372310,23.38,10.66,11.95
ONVI,Onvia Inc.,NCM,-0.12,None,50.92,0.69,0.00,29.32M,2828,5.49,3.76,3.95
TSO,Tesoro Corporation Common Stock,NYQ,12.91,8.63,3.10,43.84,2.00,13.64B,2619040,112.15,64.16,111.35
KNDI,Kandi Technologies Group Inc.,NMS,0.59,16.50,14.89,4.89,None,454.05M,496763,18.17,5.05,9.67
GST,Gastar Exploration Inc Common S,ASE,-1.16,None,12.98,2.88,None,136.24M,659295,4.35,1.00,1.70
CPE,Callon Petroleum Company Common,NYQ,0.15,60.89,2.24,7.25,None,589.22M,2446750,9.65,4.09,8.89
