symbol,EPS,volume,averageDailyV,float,lastClose,open,lastTrade,lastTradeDate,50DayMA
"CNO.V",-0.01,26600,8194,15918000,0.05,0.08,0.08,"11/18/2016",0.06
"GHC-UN.TO",N/A,28000,993,N/A,11.20,11.17,11.08,"11/18/2016",11.28
"PRF-UN.TO",N/A,3400,N/A,N/A,20.64,20.76,20.64,"11/15/2016",0.00
"EL.V",-0.116,928900,139758,52670000,0.085,0.090,0.095,"11/18/2016",0.141
"STWD",1.40,1736812,2085560,233089000,21.94,21.89,21.81,"11/18/2016",21.94
"MDX.V",-0.01,159100,395971,73508000,0.19,0.19,0.20,"11/18/2016",0.19
"WAN.V",0.02,256710,113381,N/A,N/A,N/A,N/A,"11/3/2015",1.77
"STKL",-0.56,273280,583030,75880000,7.35,7.25,7.40,"11/18/2016",6.70
"EGX.V",-0.21,7500,75565,10726000,0.80,0.75,0.80,"10/28/2016",0.78
"RWT",1.72,306030,355218,63764000,14.95,14.99,15.16,"11/18/2016",14.13
"EVI",0.25,42834,32695,1754000,13.70,13.70,13.90,"11/18/2016",8.80
"MLR",1.70,108407,17729,10885000,25.35,25.40,25.40,"11/18/2016",22.53
"OXBR",0.50,5269,16125,4114000,5.00,4.95,4.95,"11/18/2016",4.94
"VRML",-0.37,27866,52488,22960000,1.18,1.18,1.13,"11/18/2016",1.10
"LABC",1.08,0,5427,N/A,N/A,N/A,N/A,"9/15/2015",24.15
"XREG",-0.0010,3000,33212,N/A,0.0160,0.0159,0.0159,"11/18/2016",0.0133
"CNC",2.71,1366165,1709350,165543000,57.40,57.25,56.90,"11/18/2016",61.04
"MED",1.48,121322,96848,8145000,40.64,40.33,40.68,"11/18/2016",39.69
"PKI",2.15,741296,632609,108362000,50.94,50.88,49.95,"11/18/2016",52.46
"BTO.TO",-0.10,8413897,7108990,915689000,3.26,3.18,3.22,"11/18/2016",3.46
"HPP",-0.02,1146539,738991,86644000,32.76,32.83,33.40,"11/18/2016",32.76
"NANO",0.63,105586,132495,23750000,23.92,23.79,24.57,"11/18/2016",21.57
"FXCB",0.85,0,28159,N/A,N/A,N/A,N/A,N/A,20.06
"BABA",1.90,10032576,16180400,1084286000,94.07,94.85,93.39,"11/18/2016",101.24
"MNOV",-0.38,60856,56128,29854000,7.66,7.50,7.37,"11/18/2016",7.08
"ZAR.TO",-3.67,109970,98172,26501000,0.68,0.69,0.66,"11/18/2016",0.74
"RUS.TO",-1.60,136160,134156,61192000,25.17,25.03,25.51,"11/18/2016",21.72
"KKR",0.30,4209057,2302220,437361000,15.22,15.25,15.40,"11/18/2016",14.25
"CMT",1.01,27999,77642,7242000,15.95,15.87,16.03,"11/18/2016",17.32
"TNDM",-2.65,4696878,295202,18646000,2.25,2.30,2.60,"11/18/2016",5.21
"IFC.TO",4.16,192451,173388,130481000,93.18,93.00,93.57,"11/18/2016",92.80
"ATRM",-3.52,8961,1470,1139000,1.80,1.70,1.70,"11/18/2016",1.90
"PSDV",-0.68,93290,148595,27138000,1.91,1.92,1.88,"11/18/2016",2.25
"TWIN",-1.03,7850,20086,7595000,13.23,12.80,13.16,"11/18/2016",11.63
"SME.V",-0.017,75000,22322,78282000,0.095,0.085,0.095,"11/17/2016",0.111
"AVG",0.87,0,564378,N/A,25.05,N/A,25.05,"11/7/2016",25.06
"DGX",4.71,2543988,1203410,138174000,85.79,85.68,85.54,"11/18/2016",82.99
"NEE",5.29,3067628,2422430,465861000,114.78,115.65,114.09,"11/18/2016",121.82
"FORR",0.76,60537,51277,6873000,40.10,40.05,40.85,"11/18/2016",37.99
"BTE",-1.89,2265671,2505300,208535000,3.84,3.86,3.89,"11/18/2016",4.09
"HNH",0.82,16971,7294,2625000,21.95,22.00,21.70,"11/18/2016",20.83
"CWV.V",-0.095,3755,117071,102747000,0.045,0.045,0.045,"11/18/2016",0.054
"BOCH",0.35,23500,21848,11782000,7.95,7.90,8.25,"11/18/2016",7.34
