Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
RF,Regions Financial Corporation C,NYQ,0.70,14.36,0.89,12.36,0.24,13.11B,16628200,10.87,8.54,10.04
BRG,Bluerock Residential Growth REI,ASE,0.32,35.66,6.85,10.98,1.16,226.64M,133660,14.07,10.53,11.59
BOH,Bank of Hawaii Corporation Comm,NYQ,3.65,18.52,20.95,25.34,1.80,2.93B,205580,70.07,53.90,67.60
LMT,Lockheed Martin Corporation Com,NYQ,11.27,20.05,2.35,9.15,6.60,69.44B,1421660,226.98,181.91,225.97
UIL,UIL Holdings Corporation Common,NYQ,2.12,22.98,7.61,24.30,1.73,2.78B,189762,52.50,39.10,48.72
SBS,Companhia de saneamento Basico,NYQ,0.04,128.78,4.06,5.12,0.00,3.61B,2080810,8.23,3.46,5.28
NPBC,National Penn Bancshares Inc.,NMS,0.748,16.638,2.970,8.258,0.440,1.75B,1206200,12.800,9.660,12.445
SLAB,Silicon Laboratories Inc.,NMS,0.78,67.08,8.02,17.84,None,2.18B,274662,58.54,39.33,52.32
HBOS,Heritage Financial Group,NMS,1.21,None,0.00,0.00,0.28,None,53465,31.49,18.57,30.18
ODFL,Old Dominion Freight Line Inc.,NMS,3.52,18.39,3.34,19.39,None,5.47B,766369,81.48,59.32,64.72
PHH,PHH Corp Common Stock,NYQ,-2.33,None,4.98,24.18,None,989.90M,746491,27.83,13.25,16.54
GNC,GNC Holdings Inc. Class A Comm,NYQ,2.62,11.12,0.81,7.73,0.72,2.41B,2509350,51.69,22.64,29.17
ESCRP,Escalera Resources Co.,NCM,-2.31,None,0.06,-0.56,0.00,6.44M,6574,20.19,0.39,0.45
PEI,Pennsylvania Real Estate Invest,NYQ,-1.09,None,15.02,9.85,0.84,1.50B,440591,25.34,18.65,21.61
CANK,MONARCH AMERICA INC.,OBB,-0.01,None,0.00,0.00,None,None,None,1.80,0.20,None
RCII,Rent-A-Center Inc.,NMS,1.34,12.70,5.76,26.42,0.96,903.22M,950015,37.49,16.60,17.02
CSWC,Capital Southwest Corporation,NMS,3.55,4.07,0.88,17.68,0.20,225.33M,84092,51.95,14.01,14.46
BHT.V,BRAVEHEART RESOURCES INC,VAN,-0.017,None,0.000,-0.024,None,219210.00,11064,0.090,0.015,0.015
EQIX,Equinix Inc.,NMS,-3.15,None,5.86,25.99,6.76,16.92B,934274,304.73,213.89,295.44
DTSI,DTS Inc.,NMS,0.14,181.57,10.50,12.45,None,438.60M,109894,38.24,23.67,25.42
PKD,Parker Drilling Company Common,NYQ,-0.43,None,7.40,4.93,0.00,311.02M,663452,4.55,2.34,2.53
PBFX,PBF Logistics LP Common Units r,NYQ,2.83,7.09,6.98,-5.57,1.56,688.76M,62358,25.75,16.25,20.05
ARE,Alexandria Real Estate Equities,NYQ,0.91,100.39,2.59,47.25,3.08,6.62B,458634,102.96,81.83,91.25
BLL,Ball Corporation Common Stock,NYQ,2.13,32.42,8.48,7.59,0.52,9.43B,1046750,77.20,57.95,69.21
PACW,PacWest Bancorp,NMS,2.90,15.87,4.99,35.09,2.00,5.53B,781138,48.86,40.00,46.02
ONVO,Organovo Holdings Inc. Common,ASE,-0.41,None,16.26,0.82,None,272.62M,1208440,7.68,1.90,2.95
AIR,AAR Corp. Common Stock,NYQ,0.48,49.03,2.89,24.70,0.30,821.70M,298966,34.24,18.39,23.68
NMBL,Nimble Storage Inc. Common Sto,NYQ,-1.49,None,5.84,2.09,None,808.52M,899998,32.16,9.97,10.17
NBS,Neostem Inc.,NCM,-1.72,None,0.00,0.00,0.06,None,760553,7.23,2.03,2.25
EA,Electronic Arts Inc.,NMS,2.53,28.72,5.17,10.12,None,22.56B,3371000,76.92,43.04,72.60
SPLS,Staples Inc.,NMS,0.050,245.100,3.870,8.296,0.480,7.89B,8424110,19.400,11.610,12.255
CENTA,Central Garden & Pet Company,NMS,0.65,24.42,2.61,10.30,None,791.31M,344869,18.90,8.00,15.87
OZRK,Bank of the Ozarks,NMS,1.95,27.51,9.52,14.89,0.58,4.74B,715531,54.96,32.35,53.69
CDNS,Cadence Design Systems Inc.,NMS,0.759,28.412,7.250,4.654,None,6.42B,2946330,23.300,16.520,21.565
RICE,Rice Energy Inc. Common Stock,NYQ,0.680,20.484,6.210,11.488,0.770,1.90B,1744600,28.480,13.750,13.929
SNE,Sony Corporation Common Stock,NYQ,0.673,39.903,2.410,16.983,0.080,33.87B,1223670,32.950,19.710,26.855
CYCC,Cyclacel Pharmaceuticals Inc.,NCM,-0.68,None,1.42,0.70,None,19.43M,132509,3.10,0.48,0.56
GBR,New Concept Energy Inc Common,ASE,-0.11,None,0.61,3.45,None,2.35M,5771,2.85,0.90,1.21
BGC,General Cable Corporation Commo,NYQ,-4.85,None,9.38,6.01,0.72,750.90M,414489,21.31,10.70,15.36
LZB,La-Z-Boy Incorporated Common St,NYQ,1.40,18.98,3.32,10.62,0.32,1.33B,386192,29.34,24.16,26.59
XRG.TO,XINERGY LTD.,TOR,-0.73,None,0.00,0.00,None,None,99003,0.48,0.02,0.02
BOKF,BOK Financial Corporation,NMS,4.25,16.23,16.35,49.88,1.72,4.67B,230852,75.18,53.01,68.94
ACXM,Acxiom Corporation,NMS,0.10,217.33,17.42,9.05,0.00,1.71B,345723,23.16,15.78,21.95
DOC,Physicians Realty Trust Common,NYQ,0.11,141.43,2.27,11.47,0.90,1.12B,711060,18.12,13.86,15.84
PLCM,Polycom Inc.,NMS,0.55,24.14,3.89,7.77,None,1.76B,1217520,14.22,9.99,13.30
CECO,Career Education Corporation,NMS,-1.72,None,14.08,2.86,None,259.06M,406725,7.10,2.76,3.81
REGN,Regeneron Pharmaceuticals Inc.,NMS,5.0630,114.3962,3.7500,31.9010,None,59.86B,918012,605.9300,383.8700,579.1881
TPI,Tianyin Pharmaceutical Co. Inc,ASE,-0.14,None,0.33,3.25,0.00,5.89M,19122,0.78,0.19,0.20
GILD,Gilead Sciences Inc.,NMS,10.89,9.81,2.07,12.02,1.72,153.95B,11862000,123.37,85.95,106.82
SPN.V,SNIPP INTERACTIVE INC,VAN,-0.01,None,0.15,0.12,None,50.56M,154611,0.99,0.29,0.48
AJG,Arthur J. Gallagher & Co. Commo,NYQ,2.03,21.70,2.01,20.67,1.48,7.80B,1126000,49.59,39.99,44.14
KEX,Kirby Corporation Common Stock,NYQ,4.36,14.78,3.70,41.26,0.00,3.48B,547866,105.08,59.54,64.47
KBAL,Kimball International Inc.,NMS,0.46,26.10,10.91,3.65,0.22,453.10M,94980,12.99,8.38,12.11
ERII,Energy Recovery Inc.,NMS,-0.32,None,1.58,1.19,None,383.32M,1007130,9.50,2.07,6.99
ZMH,Zimmer Holdings Inc. Common St,NYQ,3.92,None,0.00,0.00,0.88,None,1134540,121.84,94.73,113.56
CUBI,Customers Bancorp Inc Common S,NYQ,1.840,16.292,8.070,17.945,None,805.84M,152640,31.630,17.500,29.977
NNBR,NN Inc.,NMS,0.964,16.696,6.820,12.805,0.280,431.96M,318220,29.910,12.640,16.095
PBU-UN.TO,PRECIOUS METALS BULLION TRUST,TOR,None,8.13,0.00,0.00,None,11.93M,None,11.60,0.02,8.70
VSH,Vishay Intertechnology Inc. Co,NYQ,0.39,30.83,17.41,12.05,0.24,1.76B,1364710,14.61,9.22,11.90
JBL,Jabil Circuit Inc. Common Stoc,NYQ,1.446,17.376,4.520,12.052,0.320,4.76B,2937470,25.130,16.900,25.125
CNAT,Conatus Pharmaceuticals Inc.,NGM,-1.34,None,5.33,2.01,None,65.01M,565829,11.74,2.70,3.28
RGR,Sturm Ruger & Company Inc. Co,NYQ,1.56,32.98,7.03,11.45,1.44,960.86M,176695,66.11,33.60,51.38
SPR,Spirit Aerosystems Holdings In,NYQ,3.89,13.78,3.14,16.42,None,7.25B,1143690,57.99,40.13,53.53
SXC,SunCoke Energy Inc. Common Sto,NYQ,-1.6240,None,1.3000,4.3810,0.6000,244.16M,1133280,22.0600,3.6700,3.8157
MOH,Molina Healthcare Inc Common St,NYQ,2.76,21.53,6.47,27.07,None,3.33B,1081970,82.37,49.37,59.42
WMB,Williams Companies Inc. (The),NYQ,0.44,82.74,1.42,9.86,2.56,27.61B,9126940,61.38,33.48,36.82
OLED,Universal Display Corporation,NMS,0.21,230.95,9.50,9.78,None,2.28B,515451,55.83,25.39,48.73
TRN,Trinity Industries Inc. Common,NYQ,4.63,5.70,6.05,22.66,0.44,4.04B,2279070,37.15,21.79,26.40
HIIQ,Health Insurance Innovations I,NGM,0.06,74.60,57.21,5.09,None,36.47M,34635,9.38,4.00,4.70
DG,Dollar General Corporation Comm,NYQ,3.74,17.06,1.55,18.39,0.88,18.82B,4423870,81.42,59.75,63.87
GLUU,Glu Mobile Inc.,NMS,-0.03,None,6.24,2.34,None,430.53M,2475160,7.03,3.01,3.28
BANR,Banner Corporation,NMS,2.48,20.81,3.76,32.02,0.72,1.77B,112058,53.55,39.00,51.63
AHL,Aspen Insurance Holdings Limite,NYQ,3.70,13.64,2.00,55.44,0.84,3.07B,304591,51.01,41.62,50.43
XPO,XPO Logistics Inc.,NYQ,-2.87,None,11.36,25.52,None,3.39B,2530020,50.96,21.33,31.28
RZ.V,REVOLVER RESOURCES INC,VAN,-0.278,None,0.000,-0.155,None,196605.00,9166,0.075,0.015,0.045
RBA,Ritchie Bros. Auctioneers Incor,NYQ,1.11,24.15,22.60,6.55,0.64,2.87B,798985,30.85,24.14,26.81
MENT,Mentor Graphics Corporation,NMS,1.3220,13.7849,11.0800,11.0790,0.2200,2.14B,754915,28.0900,18.0400,18.2237
BCPC,Balchem Corporation,NMS,2.00,32.58,12.89,14.52,0.30,2.05B,128163,70.91,50.81,65.10
TUES,Tuesday Morning Corp.,NMS,0.24,27.27,13.33,4.91,0.00,283.28M,836691,22.88,4.86,6.49
