Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,float,Title, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
A20170828,1.94,0.690237757749,0.00401435348649,0.00570522979398,0.0449530709699,321455000.0,0.0,5.6552,63.7771,63.4599990845,58.1219,0.943927550657,0.3275,0.4134,0.7409,0.00516073124369,65.0861,60.3568,60.9495,62.954,55.4182,97.8524,91.7761,1503950550.0
AA-PB20161031,-1.03,0.0999418097178,6.24768037753e-05,0.00292112950341,-0.213940473162,406855000.0,0.0,,,,,,,,,,,,,,,,,
AA20170828,0.88,0.762175557511,0.015630004351,0.0178614530533,0.130259983919,172375000.0,0.0,6.4722,41.9071,42.1699981689,35.4349,1.04061959905,0.2857,1.1483,1.4341,0.00677495879548,71.8376,35.3782,38.671,41.11,60.3839,98.3114,93.8837,1503950484.0
AAC20170828,-0.2,0.415412268896,0.00991650813781,0.0077177508269,0.212201591512,4731000.0,0.0,3.3926,10.1093,9.14000034332,6.7167,0.714290026329,0.0083,0.555,0.5633,0.000908096245977,68.3362,7.2363,8.413,9.064,68.4626,86.7194,87.3025,1503950521.0
AAL20170828,4.03,1.23061091112,0.0160136347756,-0.00619058147247,-0.0995592948718,435064000.0,0.0,9.9388,52.7329,44.9500007629,42.7941,0.21691761208,-0.3395,-1.3334,-1.6729,-0.00755283635679,34.94,49.7377,47.7635,44.5,24.1014,31.4483,22.072,1503950400.0
AAMC20170828,-3.78,0.290909090909,0.00194801641587,0.0485436893204,-0.0641247833622,731000.0,0.0,22.9098,92.3794,81.0,69.4696,0.503295532916,0.582,-3.0039,-2.4218,0.00718518518519,46.6422,87.2043,80.9245,80.162,57.6673,68.75,59.8186,1503943622.0
AAME20170828,0.11,1.72721478649,0.00046340629275,-0.0441176470588,-0.0740740740741,5848000.0,0.0,0.4614,3.6507,3.25,3.1893,0.131556133507,-0.0002,-0.0658,-0.0661,-6.15384615385e-05,35.5618,3.589,3.42,3.358,21.6181,14.2857,39.5238,1503950401.0
AAN20170828,1.95,0.917539668245,0.0110458774877,0.00902934537246,0.05102280743,69642000.0,0.0,3.9,46.851,44.7000007629,42.951,0.448461734087,-0.2864,0.8477,0.5613,-0.00640715872733,57.7941,41.2247,44.901,44.044,39.6571,56.5477,39.4561,1503950541.0
AAOI20170828,4.21,0.392086419489,0.0795868774102,-0.00954075032342,-0.213735558408,18411000.0,0.0,47.326,93.464,61.25,46.138,0.319317077294,-0.8009,-4.1667,-4.9676,-0.0130759183673,37.0318,72.3083,69.801,62.094,40.3384,10.5263,14.1485,1503950401.0
AAON20170828,0.96,0.939890256697,0.00305737785416,0.00156985871272,-0.0783010690552,40730000.0,0.0,4.6704,35.3427,31.8999996185,30.6723,0.262868195129,-0.0012,-1.0019,-1.0032,-3.76175553088e-05,33.2492,35.4058,33.0075,31.92,29.851,17.3913,14.1422,1503950401.0
AAP20170828,5.01,0.508456015598,0.015085574672,-0.0133416718783,-0.0808816389941,73468000.0,0.0,35.0428,119.2069,94.6600036621,84.1641,0.299516695644,-0.1898,-4.3363,-4.526,-0.00200507070206,38.9691,110.7042,101.6855,94.58,44.1175,44.3534,43.1582,1503950583.0
AAPL20170828,8.81,0.961790447333,0.00514748367072,0.00830523292119,0.0489833040993,5031913000.0,0.0,10.651,163.687,161.470001221,153.036,0.791850645076,-0.0967,2.3478,2.2511,-0.000598872851111,61.856,151.2813,158.3615,160.072,53.156,86.8021,70.6853,1503950401.0
AAT20170828,0.66,1.02012056965,0.00540381390446,-0.0124816446402,0.00774225774226,41742000.0,0.0,1.2518,40.9404,40.3499984741,39.6886,0.528357943858,0.0094,0.0675,0.0769,0.000232961594931,51.3968,40.04,40.3145,40.308,52.4972,44.9999,60.9624,1503950521.0
AAU20170828,-0.04,2.07307525477,0.00438061829539,0.0265486725664,0.00869565217391,88372000.0,0.0,0.1006,1.1688,1.15999996662,1.0682,0.912524519099,0.0096,-0.0311,-0.0216,0.0082758623071,52.5036,1.2237,1.1185,1.124,60.4903,83.3333,58.3334,1503950399.0
AAV.TO20170828,0.31,0.895107153521,0.00240431335963,-0.0210135970334,-0.063829787234,183291000.0,0.0,0.7762,8.5686,7.92000007629,7.7924,0.164390719266,-0.0112,-0.135,-0.1462,-0.00141414140052,36.5706,8.4137,8.1805,8.028,27.1918,12.1622,24.7748,1503950400.0
AAV20170828,0.25,0.679248348316,0.000342160826227,-0.015503875969,-0.050822122571,183291000.0,0.0,0.5834,6.7567,6.34999990463,6.1733,0.302879507426,-0.0047,-0.0775,-0.0822,-0.000740157491431,41.849,6.5458,6.465,6.4,42.1377,27.2727,36.3636,1503950521.0
AAWW20170828,2.34,0.97838542917,0.0148326997735,0.0086004691165,0.063829787234,24728000.0,0.0,7.2784,66.7282,64.5,59.4498,0.693861288195,-0.0957,1.3874,1.2917,-0.00148372093023,62.2341,57.5263,63.089,63.65,42.0467,93.7499,71.9907,1503950401.0
