Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
VRW.V,MEDIAVALET INC.,VAN,-0.01,None,0.00,0.02,None,None,None,None,None,None
BLRX,BioLineRx Ltd.,NCM,-0.33,None,0.37,0.95,None,77.47M,792673,3.28,1.20,1.42
WYNN,Wynn Resorts Limited,NMS,3.08,26.54,3.17,-2.06,2.00,8.27B,2518700,201.31,81.33,81.77
RKUS,Ruckus Wireless Inc. Common St,NYQ,0.07,158.87,7.23,3.24,None,988.08M,1270590,15.21,9.11,11.28
GRPN,Groupon Inc.,NMS,0.12,33.33,9.69,1.20,None,2.68B,10266300,8.43,3.92,4.10
ENTA,Enanta Pharmaceuticals Inc.,NMS,3.55,11.35,11.39,12.20,None,752.64M,311336,52.58,30.13,40.22
PATK,Patrick Industries Inc.,NMS,2.28,16.07,3.39,7.86,0.00,565.20M,87116,43.25,23.16,36.58
PRSS,CafePress Inc.,NMS,-0.19,None,2.68,4.23,None,75.54M,38236,5.36,1.95,4.42
ROYT,Pacific Coast Oil Trust Units o,NYQ,0.79,2.82,0.95,6.04,0.46,85.27M,167125,11.88,2.17,2.21
RCKY,Rocky Brands Inc.,NMS,1.45,12.30,0.74,18.56,0.44,134.79M,69094,23.11,12.61,17.82
PFNX,Pfenex Inc. Common Stock,ASE,-0.88,None,4.29,3.72,None,478.22M,169302,24.41,6.05,20.62
GRUB,GrubHub Inc. Common Stock,NYQ,0.44,64.52,4.23,9.90,None,2.38B,2372250,47.95,27.21,28.13
NBU.V,NEBU RESOURCES INC.,VAN,-0.018,None,0.000,0.049,None,198555.00,2723,0.095,0.010,0.015
DXR,Daxor Corporation Common Stock,ASE,-0.25,None,0.75,6.16,0.03,24.74M,35253,9.18,5.40,6.20
FET,Forum Energy Technologies Inc.,NYQ,1.45,9.21,5.23,15.98,None,1.20B,1054420,34.39,13.31,13.38
FNSR,Finisar Corporation,NMS,0.11,139.36,6.84,10.60,None,1.60B,1212320,23.38,14.22,15.33
ONVI,Onvia Inc.,NCM,-0.12,None,202.02,0.69,0.00,31.03M,1316,5.49,3.76,4.18
TSO,Tesoro Corporation Common Stock,NYQ,9.92,9.44,2.83,38.63,2.00,11.72B,2223390,110.74,55.59,93.61
PERY,Perry Ellis International Inc.,NMS,-2.37,None,9.03,20.85,0.00,375.60M,110005,28.19,19.27,24.96
YUME,YuMe Inc. Common Stock,NYQ,-0.39,None,7.09,3.03,None,96.77M,156470,6.38,2.55,2.86
LAKE,Lakeland Industries Inc.,NGM,1.4510,6.3405,9.3200,9.1790,None,65.15M,93489,29.5500,5.8300,9.2001
CRK,Comstock Resources Inc. Common,NYQ,-5.93,None,6.40,13.79,0.00,103.09M,2310810,25.54,0.99,2.16
AMDA,Amedica Corporation,NCM,-0.926,None,0.400,0.124,None,30.45M,4501380,3.430,0.204,0.463
CSIQ,Canadian Solar Inc.,NMS,4.39,3.96,1.53,14.03,None,970.68M,2464490,41.12,17.36,17.40
REXX,Rex Energy Corporation,NMS,-4.51,None,5.89,6.75,None,145.92M,2886480,15.62,1.85,2.76
FRGI,Fiesta Restaurant Group Inc.,NMS,1.49,34.63,6.24,8.46,None,1.37B,291706,69.00,45.83,51.57
HART,Harvard Apparatus Regenerative,NCM,-1.45,None,1.20,0.68,None,9.38M,134727,8.96,0.56,0.78
PLPM,Planet Payment Inc.,NCM,0.10,29.00,0.73,0.50,None,153.94M,190884,3.25,1.33,2.90
JACK,Jack In The Box Inc.,NMS,2.61,31.20,2.37,2.90,1.20,2.98B,658788,99.99,58.74,81.41
STXS,Stereotaxis Inc.,NCM,-0.184,None,7.480,-0.754,None,15.97M,81723,3.610,0.670,0.758
ARIA,ARIAD Pharmaceuticals Inc.,NMS,-0.92,None,13.87,-0.07,None,1.25B,3012980,9.89,4.90,6.63
KND,Kindred Healthcare Inc. Common,NYQ,-2.41,None,7.73,17.67,0.48,1.77B,788673,24.66,16.94,21.05
TTS,Tile Shop Hldgs Inc.,NMS,0.22,57.11,16.64,2.04,None,638.93M,340986,15.25,6.94,12.45
HABT,The Habit Restaurants Inc.,NGM,0.09,266.95,9.51,5.28,None,348.93M,421156,44.20,23.27,25.36
PDCE,PDC Energy Inc.,NMS,4.12,12.02,6.30,33.39,None,1.95B,1138240,61.41,27.91,49.47
DHT,DHT Holdings Inc.,NYQ,0.75,9.42,1.85,7.60,0.60,653.66M,1431550,9.31,5.20,7.04
MW,Men's Wearhouse Inc. (The) Com,NYQ,-0.14,None,10.88,20.27,0.72,2.69B,723700,66.18,39.77,55.60
LOCO,El Pollo Loco Holdings Inc.,NMS,1.16,10.58,8.83,5.98,None,469.10M,980888,40.89,12.02,12.26
CRZO,Carrizo Oil & Gas Inc.,NMS,3.17,9.90,2.51,24.63,None,1.63B,1091010,62.88,31.34,31.36
XEC,Cimarex Energy Co Common Stock,NYQ,-8.97,None,4.20,44.42,0.64,10.06B,1166120,145.26,91.74,106.50
WVFC,WVS Financial Corp.,NGM,0.6350,17.0868,0.0800,15.6450,0.1600,22.24M,2022,12.6000,10.7500,10.8501
ADES,Advanced Emissions Solutions I,NCM,-0.46,None,5.57,-0.89,None,199.30M,40772,17.72,9.50,9.85
HT,Hersha Hospitality Trust Class,NYQ,0.34,73.16,4.44,15.92,0.28,1.19B,571264,29.96,24.33,24.80
CRH.TO,CRH MEDICAL CORPORATION,TOR,0.03,105.59,1.33,0.61,None,249.18M,445677,5.50,0.65,3.59
NOV,National Oilwell Varco Inc. Co,NYQ,4.58,8.13,5.53,48.97,1.84,14.28B,5283990,86.55,37.19,37.21
TREE,Tree.com Inc.,NMS,2.22,50.04,3.56,9.15,0.00,1.28B,290881,139.59,30.65,110.88
OII,Oceaneering International Inc.,NYQ,3.53,11.27,2.52,16.33,1.08,3.89B,1396600,72.19,37.85,39.75
JRJC,China Finance Online Co. Limite,NMS,-0.30,None,3.97,2.86,None,85.66M,571277,11.48,3.83,3.87
TEX,Terex Corporation Common Stock,NYQ,2.08,10.59,3.86,17.65,0.24,2.39B,2425110,37.87,20.10,22.07
HASI,Hannon Armstrong Sustainable In,NYQ,0.25,73.02,6.72,10.96,1.04,574.47M,186458,21.52,13.07,18.40
ZOES,Zoe's Kitchen Inc. Common Stoc,NYQ,0.04,1044.57,12.43,6.35,None,706.16M,659217,46.61,27.09,36.56
ACQ.TO,AUTOCANADA INC,TOR,2.07,12.24,7.66,15.88,None,619.07M,124600,72.80,24.90,25.33
OVAS,OvaScience Inc.,NGM,-2.62,None,16.01,5.75,None,562.22M,649395,55.69,11.80,20.62
GHL,Greenhill & Co. Inc. Common St,NYQ,1.70,20.99,9.67,9.83,1.80,1.05B,331491,51.21,34.36,35.75
MHR,Magnum Hunter Resources Corpora,NYQ,-1.1800,None,10.2000,0.0330,None,171.56M,6024500,6.9400,0.7000,0.7771
RKN.TO,REDKNEE SOLUTIONS INC.,TOR,-0.37,None,14.04,1.05,None,400.70M,224681,5.23,2.83,3.67
DXM,Dex Media Inc.,NMS,-17.5790,None,13.8200,-69.3940,None,5.27M,685192,12.2300,0.2500,0.3001
IQ.V,AIRIQ INC.,VAN,0.008,9.375,0.000,0.010,None,2.17M,26809,0.140,0.045,0.075
MON,Monsanto Company Common Stock,NYQ,5.41,18.03,1.74,17.79,2.16,45.60B,3017870,126.00,97.35,97.47
SANM,Sanmina Corporation,NMS,2.24,8.61,2.05,15.65,None,1.55B,635922,26.08,16.57,19.32
SAH,Sonic Automotive Inc. Common S,NYQ,1.53,13.95,7.08,13.51,0.10,1.08B,312564,27.84,21.03,21.30
PCTY,Paylocity Holding Corporation,NMS,-0.28,None,11.57,2.12,None,1.56B,235878,38.59,18.75,30.77
