Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,float,Title, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
A20170921,1.94,0.493023026048,0.00264037162688,0.000607164541591,0.0505179282869,321290000.0,0.0,4.495,67.1615,65.9199981689,62.6665,0.723803819565,-0.0431,1.2198,1.1766,-0.000653822833695,67.0502,61.9103,64.914,66.044,66.5777,79.9243,85.7125,1506024117.0
AA-PB20161031,-1.03,0.0981849364013,6.24768037753e-05,0.00292112950341,-0.221662468514,406855000.0,0.0,,,,,,,,,,,,,,,,,
AA20170921,0.88,0.852417727154,0.0214384974619,-0.0182551475271,0.0307555159349,172375000.0,0.0,6.2796,47.3268,46.25,41.0472,0.828524109816,0.0284,1.838,1.8664,0.000614054054054,66.3867,39.0808,44.187,45.902,56.5632,70.2277,85.5442,1506024041.0
AAC20170921,-0.2,1.23848509578,0.0298328049038,-0.108411214953,0.02691065662,4731000.0,0.0,3.9682,12.2101,9.53999996185,8.2419,0.327125639296,-0.1671,0.731,0.5639,-0.0175157233405,46.8815,8.3165,10.226,10.576,51.5588,6.6401,26.4296,1506024317.0
AAL20170921,4.03,0.996615898632,0.0134793202839,0.0180338684847,-0.00665236051502,435064000.0,0.0,4.127,47.0865,46.2900009155,42.9595,0.807002887213,0.2882,-0.7519,-0.4638,0.00622596660834,51.7187,48.539,45.023,45.48,43.6409,74.0443,55.3991,1506024001.0
AAMC20170921,-3.779,0.331658291457,0.00252804377565,-0.0167134831461,-0.0143179434964,731000.0,0.0,37.9136,114.1988,86.9000015259,76.2852,0.279973453481,-1.5509,3.8343,2.2834,-0.0178469502045,44.1566,89.987,95.242,94.37,53.474,8.5768,22.8119,1506014694.0
AAME20170921,0.11,1.38550724638,0.000408686730506,0.0,-0.0560471976401,5848000.0,0.0,0.3034,3.4837,3.20000004768,3.1803,0.0649309416075,-0.0075,-0.0408,-0.0483,-0.00234374996508,37.914,3.4765,3.332,3.26,69.2949,0.0,20.0,1506023998.0
AAN20170921,1.95,0.76991753894,0.0099525238314,-0.0109526235354,-0.114481185861,69656000.0,0.0,7.912,46.3255,38.8300018311,38.4135,0.052641788556,-0.5149,-0.4907,-1.0056,-0.0132603650713,33.8274,42.0657,42.3695,39.742,41.4641,14.1026,18.3328,1506024122.0
AAOI20170921,4.21,0.730219902637,0.142375434405,-0.00609470229723,-0.0281173594132,18416000.0,0.0,12.7654,66.7697,63.5999984741,54.0043,0.751695871193,1.2976,-2.366,-1.0683,0.0204025162128,50.3038,70.8957,60.387,63.876,58.5522,52.4134,60.6436,1506024001.0
AAON20170921,0.96,1.01115959867,0.00332762980238,-0.00596125186289,0.0176991150442,40735000.0,0.0,2.1822,33.5386,33.3499984741,31.3564,0.913572758739,0.2552,-0.3032,-0.048,0.00765217426316,57.3375,34.19,32.4475,33.22,76.152,77.7778,83.8096,1506024001.0
AAP20170921,5.01,0.705211714875,0.0217236870748,-0.0112928759894,-0.0595321754844,73500000.0,0.0,8.6508,100.5504,93.6800003052,91.8996,0.205807590648,0.1864,-1.4708,-1.2844,0.00198975234194,39.6756,101.991,96.225,96.274,30.4881,24.0,32.0721,1506024121.0
AAPC20170920,0.346,0.397196261682,0.000454545454545,0.0061154855643,0.0219498973598,187000.0,0.0,,,,,,,,,,,,,,,,,
AAPL20170921,8.81,1.4085152743,0.00742660356012,-0.0154685494223,-0.0383675004702,5031913000.0,0.0,10.321,165.4515,153.38999939,155.1305,-0.168636819141,-1.094,0.9009,-0.1931,-0.00713214684369,36.1443,154.8662,160.291,157.348,36.0024,5.2502,12.3588,1506024001.0
AAT20170921,0.66,0.734515661829,0.00371767721534,-0.00100050025013,-0.0116307844593,41743000.0,0.0,1.0462,40.9981,39.9399986267,39.9519,-0.0113758108306,-0.0949,0.0721,-0.0228,-0.00237606417784,42.2232,40.131,40.475,40.208,44.0219,13.3332,15.0095,1506024122.0
