Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,float,Title, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
A20171006,1.94,0.765869149281,0.00389937629549,0.010353227771,0.0293159609121,321306000.0,0.0,3.0328,66.9509,66.3600006104,63.9181,0.805163746489,-0.0335,0.5354,0.5019,-0.000504822177394,64.8202,62.8813,65.4345,65.582,56.433,96.7034,82.1734,1507320178.0
AA-PB20161031,-1.03,0.0981849364013,6.24768037753e-05,0.00292112950341,-0.221662468514,406855000.0,0.0,,,,,,,,,,,,,,,,,
AA20171006,0.88,0.925477280157,0.022993177665,-0.00835247442055,0.0371260100459,172375000.0,0.0,5.4738,48.7674,47.4900016785,43.2936,0.766634089383,-0.0008,1.5124,1.5116,-1.68456511208e-05,63.1704,41.3873,46.0305,47.922,62.1256,62.4482,71.1006,1507320170.0
AAC20171006,-0.2,0.86838842629,0.0219114352145,-0.0347368421053,-0.0811623246493,4731000.0,0.0,3.2512,12.0466,9.17000007629,8.7954,0.115219019529,-0.2066,0.239,0.0324,-0.0225299889074,40.8689,8.9057,10.421,9.738,44.1939,1.0695,11.0461,1507320121.0
AAL20171006,4.03,0.716502349005,0.00974519214194,0.0118343195266,0.114732724902,435069000.0,0.0,7.613,51.1935,51.2999992371,43.5805,1.01398912874,0.6207,0.4225,1.0432,0.0120994153846,70.105,47.9923,47.387,50.166,73.8965,95.1571,89.4416,1507320002.0
AAMC20171006,-3.78,0.362691960253,0.00219699042408,0.0119318181818,-0.0118730581447,731000.0,0.0,35.38,109.689,89.0500030518,74.309,0.416647909886,-0.3456,-1.2786,-1.6242,-0.00388096561658,49.6814,89.0537,91.999,86.46,42.3642,48.5014,38.9247,1507318110.0
AAME20171006,0.11,0.409740840036,0.000156805745554,0.0461538461538,0.021021021021,5848000.0,0.0,0.2628,3.4239,3.40000009537,3.1611,0.90905667948,0.0231,-0.0332,-0.0101,0.00679411745649,56.5638,3.406,3.2925,3.34,77.1825,83.3333,88.8889,1507320002.0
AAN20171006,1.95,0.690099174529,0.00923045025397,0.000676284941389,0.0429981203008,69694000.0,0.0,8.5924,46.1722,44.3899993896,37.5798,0.792584073093,0.5066,0.0194,0.526,0.0114124804453,61.3947,42.8263,41.876,44.314,74.0822,90.7202,94.2072,1507320346.0
AAOI20171006,4.21,0.567029792204,0.109705741757,0.0253833950291,-0.0510603588907,18409000.0,0.0,12.6604,68.0627,58.1699981689,55.4023,0.218610641761,-0.1134,-1.3945,-1.5078,-0.00194945854512,41.797,70.217,61.7325,60.168,46.1309,10.9905,10.0742,1507320001.0
AAON20171006,0.96,1.04665388939,0.00356596131186,0.0143061516452,0.0752198968759,40736000.0,0.0,4.597,36.12,35.4500007629,31.523,0.854252939513,0.2295,0.397,0.6265,0.00647390677181,68.8459,33.7597,33.8215,35.31,69.8697,95.3272,91.1735,1507320001.0
AAP20171006,5.01,0.613784568629,0.0179155782313,0.00159337157425,-0.021278804235,73500000.0,0.0,9.0408,101.7299,94.2900009155,92.6891,0.177075138873,-0.2108,-0.3511,-0.5619,-0.00223565593332,41.2535,100.1143,97.2095,96.378,39.1204,14.6276,17.6418,1507320178.0
AAPC20171004,0.35,2.26366559486,0.00376470588235,-0.00282220131703,-0.0594498669033,187000.0,0.0,,,,,,,,,,,,,,,,,
AAPL20171006,8.81,0.626707520168,0.00345541561793,0.0021294444086,-0.0175238818245,5031448000.0,0.0,12.376,162.023,155.300003052,149.647,0.456771416593,0.0028,-1.051,-1.0483,1.80296197359e-05,48.1893,156.4918,155.835,154.492,33.0543,57.8699,49.7958,1507320001.0
